code,ACE
AL111973,0.0
AL111974,0.0
AL111975,0.0
AL111976,18.2725
AL111977,0.0
AL111978,0.0
AL111979,20.69
AL111980,0.5325
AL111981,0.0
AL111984,0.7875
AL111985,3.9075
AL111987,0.0
AL111988,25.4825
AL111989,48.5025
AL111990,0.0
AL111991,6.3575
AL111994,10.905
AL111995,0.6125
AL111996,0.73
AL111998,8.3475
AL111999,0.0
AL112000,3.6525
AL112001,11.55
AL112002,0.8625
AL112003,0.6125
AL112004,27.4325
AL112005,0.6975
AL112007,0.735
AL112008,6.16
AL112009,9.0025
AL112010,45.3575
AL112011,1.13
AL112012,7.945
AL112013,3.2825
AL112015,34.3675
AL112016,2.2875
AL112017,78.3475
AL112018,0.0
AL112019,0.4425
AL112020,1.535
AL112021,2.135
AL112022,0.0
AL112023,1.84
AL112024,1.695
AL121878,9.04
AL121886,4.7275
AL121887,2.1875
AL121893,7.1675
AL121901,2.4875
AL121909,9.9375
AL121916,2.635
AL121931,1.9025
AL121932,3.0625
AL121933,40.85
AL121934,1.94
AL121936,0.49
AL121944,5.415
AL121949,3.765
AL121950,6.535
AL121951,11.975
AL121953,12.89
AL121954,3.8775
AL121955,4.4675
AL121956,1.1675
AL121958,2.7975
AL121959,3.7575
AL121961,1.715
AL121964,1.9875
AL121966,2.09
AL121967,31.675
AL121968,2.5675
AL121969,1.3325
AL121970,6.71
AL121971,0.0
AL121972,0.0
AL121973,14.925
AL121974,1.4125
AL121975,0.0
AL121976,0.0
AL121977,0.0
AL121978,0.0
AL121979,0.98
AL121980,37.4375
AL121981,0.0
AL121984,3.27
AL121985,8.51
AL121987,11.9525
AL121988,8.7
AL121989,2.535
AL121990,6.6225
AL121991,5.83
AL121994,9.04
AL121995,3.4275
AL121996,25.7725
AL121998,5.365
AL121999,0.0
AL122000,3.475
AL122001,1.215
AL122002,15.7675
AL122003,0.5325
AL122004,31.76
AL122005,22.8075
AL122007,3.615
AL122008,8.8275
AL122010,16.0775
AL122011,31.2975
AL122012,17.79
AL122013,2.57
AL122015,5.76
AL122016,7.22
AL122017,43.685
AL122018,4.3325
AL122019,2.59
AL122020,1.0925
AL122021,33.09
AL122022,0.0
AL122023,1.3425
AL122024,26.52
AL131887,21.05
AL131901,7.4925
AL131916,20.1775
AL131931,2.665
AL131932,2.795
AL131933,6.665
AL131934,15.2075
AL131936,34.04
AL131944,27.3875
AL131949,10.825
AL131950,5.9425
AL131953,1.9025
AL131954,14.205
AL131955,6.4125
AL131959,7.84
AL131964,2.37
AL131966,0.0
AL131967,42.6875
AL131968,0.0
AL131969,9.4075
AL131970,2.1175
AL131971,16.3975
AL131972,6.6025
AL131973,0.0
AL131974,4.185
AL131975,10.59
AL131976,0.0
AL131977,2.6275
AL131978,12.145
AL131979,0.0
AL131980,4.4625
AL131981,15.2125
AL131984,0.6075
AL131985,19.915
AL131987,4.08
AL131988,0.0
AL131989,0.0
AL131990,6.12
AL131995,59.16
AL131996,6.0875
AL131998,41.4625
AL131999,14.51
AL132000,31.725
AL132001,5.615
AL132002,21.2725
AL132003,64.2125
AL132004,12.43
AL132005,0.245
AL132007,1.8975
AL132008,1.3175
AL132010,8.7625
AL132011,2.5475
AL132012,16.98
AL132013,1.62
AL132016,3.4275
AL132017,6.4775
AL132018,25.8
AL132019,35.8925
AL132020,13.7475
AL132021,0.6975
AL132022,3.975
AL132023,39.6625
AL132024,16.1375
AL141887,4.345
AL141916,16.1175
AL141932,60.765
AL141933,25.915
AL141936,1.9825
AL141944,2.1675
AL141949,2.9925
AL141950,0.8475
AL141953,1.67
AL141954,39.0575
AL141959,2.975
AL141966,0.0
AL141967,15.9475
AL141968,13.1625
AL141970,0.0
AL141971,44.1925
AL141972,2.525
AL141973,7.2725
AL141974,9.6675
AL141975,12.1425
AL141976,0.65
AL141977,0.7725
AL141978,0.0
AL141979,17.7325
AL141980,18.9975
AL141981,13.8325
AL141984,7.45
AL141985,0.0
AL141987,0.0
AL141988,0.0
AL141989,5.07
AL141990,11.215
AL141995,0.0
AL141998,8.7475
AL141999,11.395
AL142000,7.5525
AL142001,0.735
AL142002,0.0
AL142003,0.0
AL142004,1.13
AL142005,19.17
AL142007,0.49
AL142008,0.49
AL142010,4.475
AL142011,10.34
AL142012,27.72
AL142013,5.4225
AL142016,55.0
AL142017,18.1275
AL142018,19.79
AL142019,5.2825
AL142020,3.4325
AL142021,2.8475
AL142022,2.12
AL142023,13.0475
AL142024,33.4325
AL151887,8.905
AL151916,4.5025
AL151932,12.6325
AL151933,5.48
AL151936,14.42
AL151949,2.2225
AL151950,1.1725
AL151954,0.735
AL151966,0.49
AL151967,0.0
AL151968,0.0
AL151969,0.0
AL151970,15.0575
AL151971,0.0
AL151972,0.0
AL151973,0.0
AL151974,0.0
AL151975,22.37
AL151976,0.0
AL151977,0.0
AL151978,5.595
AL151979,3.7
AL151980,0.0
AL151981,10.1025
AL151984,3.6175
AL151988,0.0
AL151989,2.6475
AL151990,1.4475
AL151995,24.54
AL151999,0.245
AL152000,14.43
AL152001,20.0325
AL152003,10.1175
AL152004,1.365
AL152005,8.54
AL152007,1.05
AL152008,9.265
AL152010,1.885
AL152011,4.59
AL152012,1.455
AL152013,3.0075
AL152016,28.28
AL152017,52.3125
AL152018,2.6875
AL152019,0.0
AL152020,0.735
AL152021,6.1025
AL152022,4.4025
AL152023,14.6625
AL152024,0.9375
AL161887,10.99
AL161933,1.0925
AL161936,0.735
AL161949,1.4
AL161950,2.0125
AL161954,8.5825
AL161966,6.4425
AL161967,1.62
AL161968,5.0875
AL161969,6.8725
AL161970,0.885
AL161971,0.0
AL161972,0.0
AL161973,10.095
AL161974,0.0
AL161975,0.0
AL161976,0.0
AL161978,11.595
AL161979,0.0
AL161980,7.355
AL161981,16.38
AL161984,20.535
AL161988,0.0
AL161990,6.1725
AL161995,11.0875
AL161999,19.8725
AL162000,3.6525
AL162001,3.5275
AL162003,24.9775
AL162004,3.565
AL162005,18.87
AL162007,11.585
AL162008,0.0
AL162010,1.4875
AL162011,19.97
AL162012,1.0925
AL162016,9.67
AL162017,4.5525
AL162018,14.925
AL162019,2.69
AL162020,2.94
AL162021,1.78
AL162022,6.855
AL162023,2.3825
AL162024,5.67
AL171887,9.365
AL171933,20.535
AL171936,9.935
AL171966,3.9325
AL171967,0.0
AL171969,4.6275
AL171971,2.385
AL171972,0.0
AL171973,0.0
AL171974,4.4125
AL171975,0.0
AL171976,11.5275
AL171978,0.0
AL171979,0.0
AL171980,0.0
AL171981,0.0
AL171984,0.0
AL171988,0.0
AL171995,14.355
AL172000,7.4025
AL172001,11.135
AL172003,4.9975
AL172005,5.9525
AL172007,1.6725
AL172008,9.925
AL172010,8.17
AL172011,16.3825
AL172012,13.4925
AL172017,18.0425
AL172019,1.05
AL172020,22.3325
AL172021,1.4275
AL172022,5.675
AL172023,9.805
AL172024,3.42
AL181887,8.035
AL181933,11.2025
AL181967,1.375
AL181970,6.94
AL181971,3.71
AL181972,0.0
AL181974,1.5675
AL181975,0.0
AL181976,0.0
AL181978,0.0
AL181979,1.645
AL181980,5.5825
AL181981,23.255
AL181984,13.1075
AL181988,0.0
AL181995,2.45
AL182000,1.6775
AL182003,0.8475
AL182005,28.5475
AL182010,7.845
AL182011,10.3375
AL182012,18.6325
AL182017,0.245
AL182019,4.9925
AL182020,2.035
AL182021,56.82
AL182023,2.2275
AL182024,13.405
AL191887,4.52
AL191933,5.95
AL191967,3.33
AL191969,0.0
AL191970,12.7
AL191971,1.9525
AL191972,1.77
AL191974,0.0
AL191975,1.0125
AL191976,0.0
AL191978,1.045
AL191979,0.0
AL191981,0.0
AL191984,0.0
AL191988,0.0
AL191995,18.2425
AL192000,4.085
AL192003,7.6175
AL192005,0.0
AL192010,5.7
AL192011,5.89
AL192012,1.46
AL192017,1.9825
AL192019,6.03
AL192020,8.2125
AL192021,0.565
AL192023,1.3375
AL192024,2.265
AL201933,1.145
AL201969,24.8875
AL201970,0.0
AL201971,0.0
AL201974,0.0
AL201975,0.0
AL201976,0.0
AL201978,2.3875
AL201979,0.0
AL201981,1.62
AL201984,16.235
AL201995,2.125
AL202003,4.5725
AL202005,2.4775
AL202010,2.405
AL202011,0.8475
AL202019,8.575
AL202020,27.44
AL202021,2.4475
AL202023,18.555
AL211967,1.1725
AL211969,11.8225
AL211970,0.8475
AL211971,1.29
AL211975,0.0
AL211976,4.7475
AL211978,0.0
AL211981,4.185
AL211995,9.9475
AL212003,2.055
AL212005,0.8475
AL212010,15.705
AL212020,2.1475
AL212021,10.4475
AL212023,0.0
AL221969,6.7825
AL221970,0.0
AL221971,8.61
AL221975,0.0
AL221978,0.0
AL221981,6.1625
AL222005,1.0125
AL222020,3.715
AL231967,3.6025
AL231969,1.88
AL231970,13.0825
AL231975,2.4675
AL231978,4.615
AL232005,1.365
AL232020,1.3475
AL241967,0.0
AL241969,0.6025
AL241978,0.0
AL242005,2.6775
AL242020,3.7625
AL251967,20.125
AL251969,11.865
AL252005,44.105
AL252020,3.1875
AL261969,7.9275
AL262005,0.8525
AL262020,16.6375
AL271967,0.97
AL271969,3.1575
AL272005,6.4725
AL272020,14.0525
AL281967,0.49
AL281969,14.2975
AL282005,1.3325
AL282020,9.4675
AL291969,5.42
AL292005,8.63
AL292020,20.86
AL301969,0.0
AL302005,13.3625
AL302020,5.5875
AL312005,6.265
AL312020,13.88
