code,ACE
AL022023,0.49
AL022024,39.2775
AL031851,0.25
AL031852,9.06
AL031853,45.06
AL031854,18.58
AL031855,0.49
AL031856,3.0
AL031857,9.8
AL031858,7.55
AL031859,2.94
AL031860,0.49
AL031861,16.72
AL031862,23.44
AL031863,11.85
AL031864,12.17
AL031865,6.1
AL031866,6.6
AL031867,0.81
AL031868,9.72
AL031869,1.96
AL031870,4.3
AL031871,22.0
AL031872,20.72
AL031873,5.87
AL031874,17.1
AL031875,28.19
AL031876,3.0
AL031877,13.2
AL031878,6.26
AL031879,10.55
AL031880,7.24
AL031881,17.04
AL031882,1.5175
AL031883,29.12
AL031884,16.07
AL031885,2.62
AL031886,9.82
AL031887,1.225
AL031888,23.15
AL031889,12.4175
AL031890,23.1325
AL031891,21.38
AL031892,29.15
AL031893,29.5975
AL031894,26.585
AL031895,8.025
AL031896,25.7025
AL031897,6.15
AL031898,5.2225
AL031899,79.1275
AL031900,27.3
AL031901,10.6375
AL031902,13.2
AL031903,11.125
AL031904,5.5625
AL031905,4.46
AL031906,2.795
AL031907,1.5825
AL031908,12.1025
AL031909,2.1525
AL031910,27.46
AL031911,12.095
AL031912,2.1
AL031913,15.755
AL031915,41.94
AL031916,20.19
AL031917,22.935
AL031918,3.7275
AL031919,4.175
AL031920,3.5425
AL031921,36.6875
AL031922,8.0875
AL031923,2.0625
AL031924,24.5925
AL031925,0.97
AL031926,13.3025
AL031927,5.335
AL031928,4.6125
AL031929,3.97
AL031930,2.4425
AL031931,6.0575
AL031932,8.5525
AL031933,3.15
AL031934,4.5825
AL031935,34.0775
AL031936,2.3125
AL031937,4.89
AL031938,10.1875
AL031939,3.9425
AL031940,11.2175
AL031941,8.5275
AL031942,15.8275
AL031943,26.53
AL031944,5.01
AL031945,2.3475
AL031946,0.6125
AL031947,6.4475
AL031948,22.52
AL031949,1.525
AL031950,26.06
AL031951,2.9125
AL031952,0.7675
AL031953,10.0325
AL031954,4.4425
AL031955,19.485
AL031956,30.0575
AL031957,2.095
AL031958,27.51
AL031959,4.815
AL031960,4.185
AL031961,29.755
AL031962,5.405
AL031963,4.7525
AL031964,1.195
AL031965,44.165
AL031966,4.3375
AL031967,1.95
AL031968,1.4125
AL031969,0.0
AL031970,0.0
AL031971,0.0
AL031972,0.0
AL031973,0.0
AL031974,0.0
AL031975,0.0
AL031976,0.0
AL031977,0.0
AL031978,0.0
AL031979,0.0
AL031980,0.0
AL031981,0.735
AL031982,5.3125
AL031983,7.385
AL031984,0.0
AL031985,7.3325
AL031986,0.0
AL031987,0.6025
AL031988,0.645
AL031989,1.775
AL031990,8.58
AL031991,10.6225
AL031992,0.0
AL031993,4.74
AL031994,1.075
AL031995,8.0375
AL031996,4.53
AL031997,2.76
AL031998,1.005
AL031999,11.6
AL032000,37.675
AL032001,2.825
AL032002,1.5725
AL032003,1.64
AL032004,16.1425
AL032005,2.1425
AL032006,2.865
AL032007,5.6725
AL032008,3.7125
AL032009,29.43
AL032010,0.81
AL032011,2.595
AL032012,5.305
AL032013,2.48
AL032014,8.075
AL032015,1.2525
AL032016,2.8225
AL032017,2.5725
AL032018,9.675
AL032019,0.0
AL032020,5.305
AL032021,2.25
AL032022,0.49
AL032023,4.81
AL032024,0.2825
AL041851,22.83
AL041852,19.42
AL041853,11.62
AL041854,6.31
AL041855,4.7
AL041856,0.25
AL041857,12.93
AL041858,18.84
AL041859,4.69
AL041860,17.1
AL041861,0.49
AL041862,0.25
AL041863,6.14
AL041864,4.0
AL041865,27.79
AL041866,0.49
AL041867,6.8
AL041868,7.76
AL041869,2.44
AL041870,16.6
AL041871,26.19
AL041872,10.92
AL041873,2.62
AL041874,2.6
AL041875,3.8
AL041876,12.05
AL041877,33.71
AL041878,13.14
AL041879,13.3
AL041880,18.27
AL041881,7.38
AL041882,2.83
AL041883,8.12
AL041884,20.29
AL041885,8.34
AL041886,16.8325
AL041887,20.105
AL041888,22.22
AL041889,29.6875
AL041890,2.985
AL041891,16.155
AL041892,6.7775
AL041893,26.1525
AL041894,30.61
AL041895,2.205
AL041896,21.285
AL041897,2.7875
AL041898,40.8025
AL041899,18.5775
AL041900,2.185
AL041901,12.4725
AL041902,14.0725
AL041903,9.9475
AL041904,8.1275
AL041905,20.4125
AL041906,58.07
AL041907,2.345
AL041908,3.0125
AL041909,10.7825
AL041910,9.455
AL041911,10.03
AL041912,7.2225
AL041913,7.2
AL041915,8.53
AL041916,9.1675
AL041917,35.9925
AL041918,5.0425
AL041919,1.29
AL041920,2.09
AL041921,9.895
AL041922,11.9825
AL041923,3.7825
AL041924,28.295
AL041925,8.165
AL041926,64.535
AL041927,18.495
AL041928,49.6925
AL041929,7.3375
AL041931,0.49
AL041932,48.465
AL041933,1.47
AL041934,1.1025
AL041935,1.3575
AL041936,0.885
AL041937,11.1875
AL041938,12.35
AL041939,2.5525
AL041940,12.1
AL041941,12.5925
AL041942,15.08
AL041943,27.795
AL041944,18.8325
AL041945,3.155
AL041946,9.0775
AL041947,44.775
AL041948,1.555
AL041949,23.68
AL041950,57.24
AL041951,25.5725
AL041952,20.3475
AL041953,35.02
AL041954,2.5475
AL041955,14.3975
AL041956,8.22
AL041957,59.1075
AL041958,16.835
AL041959,5.09
AL041960,4.8275
AL041961,23.45
AL041962,14.25
AL041963,2.1525
AL041964,1.9025
AL041965,22.1675
AL041966,12.2225
AL041970,9.775
AL041971,3.2925
AL041972,0.0
AL041973,6.7375
AL041974,0.0
AL041975,4.1025
AL041976,0.0
AL041977,0.0
AL041978,0.485
AL041979,2.1025
AL041980,52.2775
AL041981,0.0
AL041982,0.0
AL041983,3.63
AL041984,0.0
AL041985,4.1675
AL041986,0.0
AL041987,0.0
AL041988,1.6275
AL041989,2.94
AL041990,3.4
AL041991,0.0
AL041992,37.3025
AL041993,1.14
AL041994,7.495
AL041995,0.4425
AL041996,4.3275
AL041997,1.5725
AL041998,28.09
AL041999,24.615
AL042000,0.0
AL042001,5.22
AL042002,3.9375
AL042003,10.695
AL042004,12.135
AL042005,22.7375
AL042006,2.17
AL042007,38.205
AL042008,7.4225
AL042009,0.895
AL042010,3.085
AL042011,1.62
AL042012,2.88
AL042013,3.0625
AL042014,12.9025
AL042015,10.5325
AL042016,0.5275
AL042017,0.0
AL042018,2.4725
AL042019,0.49
AL042020,0.565
AL042021,0.5275
AL042023,2.4875
AL042024,5.6725
AL051851,4.0
AL051852,16.49
AL051853,0.25
AL051854,3.66
AL051855,8.47
AL051856,22.73
AL051858,7.02
AL051859,5.91
AL051860,4.74
AL051861,2.69
AL051862,6.12
AL051863,13.94
AL051864,4.66
AL051865,0.36
AL051866,6.94
AL051867,0.25
AL051869,3.84
AL051870,9.34
AL051871,12.96
AL051872,5.84
AL051873,29.84
AL051874,4.0
AL051875,10.02
AL051876,24.58
AL051877,4.56
AL051878,23.27
AL051879,3.83
AL051880,18.28
AL051881,17.6
AL051882,8.58
AL051885,6.62
AL051886,24.7525
AL051887,6.6625
AL051888,4.1875
AL051889,13.1175
AL051891,21.4675
AL051892,26.885
AL051893,7.565
AL051894,29.215
AL051895,34.1175
AL051896,13.8
AL051897,11.6975
AL051898,8.615
AL051899,36.495
AL051900,6.405
AL051901,1.2525
AL051902,4.5575
AL051903,2.9075
AL051904,3.74
AL051905,3.625
AL051906,21.085
AL051907,4.03
AL051908,2.3025
AL051909,1.46
AL051910,30.745
AL051911,4.3575
AL051912,8.2925
AL051913,8.68
AL051915,2.61
AL051916,1.5925
AL051918,12.375
AL051919,4.675
AL051920,4.165
AL051921,9.385
AL051922,2.0675
AL051923,22.1775
AL051924,7.5175
AL051926,10.03
AL051927,1.7675
AL051928,5.875
AL051929,4.3225
AL051931,0.5275
AL051932,3.57
AL051933,18.325
AL051934,7.665
AL051935,27.0975
AL051936,7.8325
AL051937,2.2575
AL051938,0.49
AL051939,20.525
