code,name,formation_datetime,formation_lat,formation_lon,ACE,rhum_minus_0_days,rhum_minus_3_days,rhum_minus_7_days,rhum_minus_14_days,sst_minus_0_days,sst_minus_3_days,sst_minus_7_days,sst_minus_14_days,vws_minus_0_days,vws_minus_3_days,vws_minus_7_days,vws_minus_14_days
AL051853,UNNAMED,1853-09-21 12:00:00,20.0,265.0,0.25,89.90349578857422,66.4854736328125,68.65673065185547,62.54721450805664,28.900001525878903,28.900001525878903,28.900001525878903,28.900001525878903,23.279191106790147,23.279191106790147,23.279191106790147,23.279191106790147
AL061853,UNNAMED,1853-09-26 00:00:00,25.8,298.0,9.56,60.79096984863281,46.19200134277344,44.55936050415039,56.24932098388672,28.05000114440918,28.05000114440918,28.05000114440918,28.05000114440918,33.489905235724244,33.489905235724244,33.489905235724244,33.489905235724244
AL071853,UNNAMED,1853-09-28 12:00:00,15.0,323.0,0.25,59.987525939941406,49.48139190673828,40.86906814575195,44.20722961425781,26.288002014160156,26.288002014160156,26.288002014160156,26.288002014160156,36.923174741726065,36.923174741726065,36.923174741726065,36.923174741726065
AL081853,UNNAMED,1853-10-19 00:00:00,27.5,281.5,9.34,37.95981216430664,25.101726531982425,34.891170501708984,37.35539245605469,27.59800148010254,27.59800148010254,27.59800148010254,27.59800148010254,22.50641199733214,22.50641199733214,22.50641199733214,22.50641199733214
AL011854,UNNAMED,1854-06-25 00:00:00,26.0,267.5,3.9,65.96412658691406,53.569068908691406,60.58830261230469,64.11223602294922,27.678001403808594,27.678001403808594,27.678001403808594,27.678001403808594,27.376699924701377,27.376699924701377,27.376699924701377,27.376699924701377
AL021854,UNNAMED,1854-08-23 12:00:00,33.0,305.0,0.36,47.74062728881836,47.25071716308594,47.442359924316406,42.20758438110352,26.89000129699707,26.89000129699707,26.89000129699707,26.89000129699707,15.688257305551051,15.688257305551051,15.688257305551051,15.688257305551051
AL031854,UNNAMED,1854-09-07 00:00:00,26.4,283.4,18.58,67.18668365478516,40.516563415527344,70.20242309570312,42.37411880493164,28.803001403808594,28.803001403808594,29.10500144958496,29.10500144958496,22.50641199733214,22.50641199733214,22.50641199733214,22.50641199733214
AL041854,UNNAMED,1854-09-18 00:00:00,28.2,266.4,6.31,58.0826530456543,42.26416778564453,64.08134460449219,60.316017150878906,28.90800094604492,28.90800094604492,28.90800094604492,28.90800094604492,31.16423489137456,31.16423489137456,31.16423489137456,31.16423489137456
AL051854,UNNAMED,1854-10-20 00:00:00,25.0,292.4,3.66,61.73554611206055,42.4792594909668,30.824893951416016,51.95441436767578,27.455001831054688,27.455001831054688,27.455001831054688,27.455001831054688,40.864583070477366,40.864583070477366,40.864583070477366,40.864583070477366
AL011855,UNNAMED,1855-08-06 12:00:00,22.2,262.0,0.81,71.77276611328125,74.63040924072266,75.8320083618164,60.650848388671875,29.268001556396484,29.268001556396484,28.73500061035156,28.73500061035156,29.998210146599252,29.998210146599252,29.998210146599252,29.998210146599252
AL021855,UNNAMED,1855-08-10 00:00:00,44.0,318.0,4.86,30.84784889221191,55.4412727355957,49.24729919433594,66.05804443359375,20.15800094604492,20.15800094604492,20.15800094604492,19.328001022338867,10.016982619327427,10.016982619327427,10.016982619327427,10.016982619327427
AL031855,UNNAMED,1855-08-11 12:00:00,12.5,277.0,0.49,80.05879211425781,76.79585266113281,81.70294189453125,76.01292419433594,28.065000534057617,28.065000534057617,28.065000534057617,27.785001754760746,26.356770986892393,26.356770986892393,26.356770986892393,26.356770986892393
AL041855,UNNAMED,1855-08-24 00:00:00,12.0,304.1,4.7,67.62039947509766,53.472320556640625,66.94070434570312,61.027801513671875,27.823001861572266,27.823001861572266,27.823001861572266,27.823001861572266,42.14417876277745,42.14417876277745,42.14417876277745,42.14417876277745
AL051855,UNNAMED,1855-09-15 00:00:00,26.7,270.9,8.47,84.61424255371094,92.28010559082033,63.63654327392578,55.13619613647461,29.270000457763672,29.270000457763672,29.270000457763672,29.270000457763672,27.132777807577448,27.132777807577448,27.132777807577448,27.132777807577448
