code,size_34kt_sqkm,size_50kt_sqkm,size_64kt_sqkm,size_max_sqkm
AL081979,,,,
AL081980,,,,
AL081981,,,,
AL081982,,,,
AL081984,,,,
AL081985,,,,
AL081986,,,,
AL081987,,,,
AL081988,,,,
AL081989,,,,
AL081990,,,,
AL081991,,,,
AL081992,,,,
AL081993,,,,
AL081994,,,,
AL081995,,,,
AL081996,,,,9697.825088026422
AL081997,,,,
AL081998,,,,
AL081999,,,,13199.817480924856
AL082000,,,,
AL082001,,,,
AL082002,,,,
AL082003,,,,
AL082004,107753.61208918248,6734.600755573905,,
AL082005,671843.7713760526,29632.243324525178,,
AL082006,4344625.639435837,775826.0070421137,38791.30035210569,
AL082007,43640.212896118894,,,
AL082008,1413188.622549628,242445.62720066056,32326.083626754742,
AL082009,,,,
AL082010,174560.85158447557,9697.825088026422,,
AL082011,38791.30035210569,2424.4562720066056,,
AL082012,388990.5396419487,107753.61208918248,26938.40302229562,
AL082013,,,,
AL082014,1655095.4816898427,497821.687852023,142234.76795772085,
AL082015,242445.62720066056,,,
AL082016,,,,
AL082017,969782.5088026422,77582.60070421136,21550.722417836492,
AL082018,965472.3643190749,182103.60443071838,52799.269923699416,
AL082019,450410.0985327827,10775.361208918246,,
AL082020,290934.75264079263,77582.60070421136,21820.106448059447,4310.144483567298
AL082021,387913.0035210569,77582.60070421136,,9697.825088026422
AL082022,511829.6574236167,19395.650176052844,,38791.30035210569
AL082023,2327478.0211263415,543078.2049294796,87280.42579223779,107753.61208918248
AL091863,,,,
AL091867,,,,269.38403022295614
AL091869,,,,
AL091870,,,,
AL091878,,,,
AL091880,,,,
AL091886,,,,
AL091887,,,,17240.577934269193
AL091888,,,,
AL091889,,,,
AL091891,,,,
AL091892,,,,
AL091893,,,,2424.4562720066056
AL091898,,,,
AL091899,,,,13199.817480924856
AL091901,,,,
AL091903,,,,
AL091906,,,,
AL091908,,,,
AL091909,,,,9697.825088026422
AL091916,,,,
AL091923,,,,
AL091924,,,,
AL091926,,,,
AL091931,,,,
AL091932,,,,
AL091933,,,,
AL091934,,,,
AL091936,,,,
AL091937,,,,
AL091938,,,,
AL091940,,,,
AL091942,,,,
AL091943,,,,
AL091944,,,,
AL091945,,,,1077.5361208918246
AL091947,,,,2424.4562720066056
AL091948,,,,2424.4562720066056
AL091949,,,,
AL091950,,,,
AL091951,,,,
AL091952,,,,
AL091953,,,,
AL091954,,,,
AL091955,,,,
AL091956,,,,
AL091958,,,,
AL091959,,,,
AL091961,,,,
AL091963,,,,
AL091964,,,,
AL091965,,,,
AL091966,,,,4310.144483567298
AL091968,,,,
AL091969,,,,269.38403022295614
AL091970,,,,
AL091971,,,,
AL091972,,,,
AL091973,,,,
AL091974,,,,
AL091975,,,,
AL091976,,,,
AL091977,,,,
AL091978,,,,
AL091979,,,,
AL091980,,,,
AL091981,,,,
AL091984,,,,
AL091985,,,,2424.4562720066056
AL091986,,,,
AL091987,,,,
AL091988,,,,
AL091989,,,,
AL091990,,,,
AL091991,,,,
AL091992,,,,
AL091993,,,,
AL091994,,,,
AL091995,,,,
AL091996,,,,
AL091997,,,,
AL091998,,,,
AL091999,,,,
AL092000,,,,
AL092001,,,,
AL092002,,,,
AL092003,,,,
AL092004,1717323.1926713453,673460.0755573903,293359.2089127993,6734.600755573905
AL092005,1765004.1660208092,129304.33450701897,12930.433450701896,
AL092006,4377490.491123037,1111209.124669694,215507.22417836497,
AL092007,60611.40680016514,9697.825088026422,,1077.5361208918246
AL092008,1765004.1660208087,781213.6876465728,302248.88191015687,9697.825088026422
AL092009,1047365.1095068536,135769.5512323699,,
AL092010,,,,
AL092011,2792973.625351609,520449.94639075134,182103.60443071838,21820.10644805945
AL092012,1034434.6760561516,242445.62720066056,38791.30035210569,17240.577934269193
AL092013,1068915.83192469,211197.07969479766,38791.30035210569,
AL092014,45256.51707745664,,,
AL092015,,,,
AL092016,1435278.1130279105,211197.07969479766,30171.01138497109,4310.144483567298
AL092017,475193.4293132947,86202.88967134597,29632.243324525178,1077.5361208918246
AL092018,377137.64231213863,32326.083626754742,1077.5361208918246,
AL092019,3132397.5034325346,672382.5394364985,196111.5740023121,
AL092020,785523.8321301402,142234.76795772085,26938.40302229562,6734.600755573905
AL092021,1076458.5847709328,142234.76795772085,45525.901107679594,969782.5088026422
AL092022,2152917.1695418656,310330.40281684545,60342.02276994218,349121.7031689512
AL092023,96978.25088026423,,,87280.4257922378
AL092024,2217569.3367953748,310330.40281684545,118798.35732832368,275849.2469483071
AL101869,,,,9697.825088026422
AL101870,,,,
AL101878,,,,
AL101880,,,,
AL101886,,,,
AL101887,,,,
AL101891,,,,
AL101893,,,,2424.4562720066056
AL101898,,,,
AL101899,,,,
AL101901,,,,
AL101903,,,,
AL101906,,,,
AL101908,,,,
AL101909,,,,
AL101916,,,,
AL101924,,,,4310.144483567298
AL101926,,,,4310.144483567298
AL101931,,,,
AL101932,,,,
AL101933,,,,
AL101934,,,,
AL101936,,,,
AL101937,,,,
AL101942,,,,
AL101943,,,,
AL101944,,,,
AL101945,,,,
AL101947,,,,
AL101948,,,,
AL101949,,,,
AL101950,,,,
AL101951,,,,
AL101952,,,,
AL101953,,,,
AL101954,,,,
AL101955,,,,
AL101956,,,,
AL101958,,,,
AL101959,,,,
AL101961,,,,
AL101963,,,,
AL101964,,,,13199.817480924856
AL101965,,,,
AL101966,,,,
AL101968,,,,
AL101970,,,,
AL101971,,,,
AL101972,,,,
AL101973,,,,
AL101974,,,,
AL101975,,,,
AL101976,,,,
AL101977,,,,
AL101978,,,,
AL101979,,,,
AL101980,,,,
AL101981,,,,
AL101984,,,,2424.4562720066056
AL101985,,,,
AL101986,,,,
AL101987,,,,
AL101988,,,,
AL101989,,,,
AL101990,,,,
AL101991,,,,
AL101992,,,,
AL101993,,,,
AL101994,,,,
AL101995,,,,
AL101996,,,,
AL101998,,,,
AL101999,,,,
AL102000,,,,
AL102001,,,,
AL102002,,,,
AL102003,,,,
AL102004,,,,
AL102005,,,,
AL102006,888967.2997357553,96978.25088026423,22628.258538728318,
AL102007,,,,
AL102008,320028.2279048719,38791.30035210569,,
AL102009,58186.95052815854,,,
AL102010,142234.76795772085,16163.041813377371,,
AL102011,,,,
AL102012,349121.70316895115,,,
AL102013,165940.562617341,45256.517077456636,6465.216725350948,
AL102015,355586.9198943021,,,
AL102016,560318.7828637488,,,
AL102018,475193.4293132947,,,
AL102019,495666.6156102394,38791.30035210569,8081.5209066886855,
AL102020,,,,
AL102021,17240.577934269193,,,52799.26992369942
AL102022,,,,107753.61208918248
AL102023,1765004.1660208087,87280.42579223779,11314.129269364159,155165.20140842276
AL102024,1206840.4553988436,226282.58538728318,38791.30035210569,242445.62720066056
AL111870,,,,
AL111878,,,,
AL111880,,,,
AL111886,,,,
AL111887,,,,
AL111893,,,,
AL111898,,,,
AL111901,,,,
AL111906,,,,
AL111909,,,,4310.144483567298
AL111916,,,,
AL111924,,,,
AL111926,,,,
AL111931,,,,
AL111932,,,,
AL111933,,,,2424.4562720066056
AL111934,,,,
AL111936,,,,
AL111937,,,,
AL111942,,,,
AL111944,,,,
AL111945,,,,
AL111949,,,,2424.4562720066056
AL111950,,,,269.38403022295614
AL111951,,,,
AL111952,,,,
AL111953,,,,
AL111954,,,,
AL111955,,,,
AL111956,,,,
AL111958,,,,
AL111959,,,,
AL111961,,,,
AL111964,,,,4310.144483567298
AL111966,,,,
AL111967,,,,
AL111970,,,,
AL111971,,,,
AL111972,,,,
AL111973,,,,
AL111974,,,,
AL111975,,,,
AL111976,,,,
AL111977,,,,
AL111978,,,,
AL111979,,,,
AL111980,,,,
AL111981,,,,
AL111984,,,,
AL111985,,,,
AL111987,,,,
AL111988,,,,
AL111989,,,,4310.144483567298
AL111990,,,,
AL111991,,,,
AL111994,,,,
AL111995,,,,
AL111996,,,,
AL111998,,,,
AL111999,,,,
AL112000,,,,
AL112001,,,,
AL112002,,,,
AL112003,,,,
AL112004,985945.5506160195,329726.0529928984,142234.76795772085,21820.10644805945
AL112005,45256.51707745664,,,
AL112007,266690.18992072664,,,
AL112008,982712.9422533441,266690.18992072664,123916.65390255985,
AL112009,673460.0755573903,86202.88967134597,14546.737632039632,
AL112010,6896231.173707679,1719747.648943352,218201.06448059448,
AL112011,21820.106448059447,,,
AL112012,155165.20140842276,32326.083626754742,8081.5209066886855,
AL112013,87280.42579223779,,,
AL112015,2228344.6980042933,497821.687852023,97247.63491048718,
AL112016,64652.167253509484,,,
AL112017,2692762.7661086703,644366.6002933112,118528.97329810071,2424.4562720066056
AL112018,,,,
AL112019,,,,
AL112020,87280.42579223779,,,
AL112021,290934.75264079263,,,52799.26992369942
AL112022,,,,68962.31173707677
AL112023,38791.30035210569,4310.144483567298,,9697.825088026422
AL112024,103443.46760561517,,,17240.577934269193
AL121878,,,,
AL121886,,,,
AL121887,,,,
AL121893,,,,
AL121901,,,,
AL121909,,,,
AL121916,,,,
AL121931,,,,
AL121932,,,,
AL121933,,,,17240.577934269193
AL121934,,,,
AL121936,,,,
AL121944,,,,
AL121949,,,,
AL121950,,,,
AL121951,,,,
AL121953,,,,
AL121954,,,,
AL121955,,,,
AL121956,,,,
AL121958,,,,
AL121959,,,,
AL121961,,,,
AL121964,,,,
AL121966,,,,
AL121967,,,,
AL121968,,,,
AL121969,,,,
AL121970,,,,
AL121971,,,,
AL121972,,,,
AL121973,,,,
AL121974,,,,
AL121975,,,,
AL121976,,,,
AL121977,,,,
AL121978,,,,
AL121979,,,,
AL121980,,,,
AL121981,,,,
AL121984,,,,
AL121985,,,,2424.4562720066056
AL121987,,,,
AL121988,,,,
AL121989,,,,
AL121990,,,,
AL121991,,,,
AL121994,,,,
AL121995,,,,
AL121996,,,,
AL121998,,,,
AL121999,,,,
AL122000,,,,
AL122001,,,,
AL122002,,,,
AL122003,,,,
AL122004,4364021.28961189,875498.0982246074,193956.50176052845,
AL122005,1433123.0407861269,504286.90457737393,274771.7108274153,4310.144483567298
AL122007,727336.8816019817,367709.2012543352,21550.722417836492,
AL122008,3879130.035210569,1260717.261443435,232747.80211263415,
AL122010,916444.4708184969,118528.97329810071,26938.40302229562,
AL122011,2177700.500322378,756430.3568660609,168095.63485912466,
AL122012,2327478.0211263415,475193.4293132947,19395.650176052844,
AL122013,274771.7108274153,51721.73380280758,,
AL122015,5900587.798003632,232747.80211263412,,
AL122016,545233.2771712632,107753.61208918248,,
AL122017,1515015.7859739054,329726.05299289833,63035.86307217174,
AL122018,266151.4218602807,,,
AL122019,130381.87062791077,,,
AL122020,474115.89319240284,,,
AL122021,2036543.268485549,517217.3380280759,142234.76795772085,52799.26992369942
AL122022,,,,38791.30035210569
AL122023,161630.4181337737,,,87280.4257922378
AL122024,3077443.1612670515,1137878.1436617668,293089.8248825763,87280.4257922378
AL131887,,,,
AL131901,,,,
AL131916,,,,
AL131931,,,,
AL131932,,,,
AL131933,,,,
AL131934,,,,
AL131936,,,,13199.817480924856
AL131944,,,,13199.817480924856
AL131949,,,,
AL131950,,,,
AL131953,,,,
AL131954,,,,
AL131955,,,,
AL131959,,,,
AL131964,,,,
AL131966,,,,
AL131967,,,,1077.5361208918246
AL131968,,,,
AL131969,,,,
AL131970,,,,
AL131971,,,,
AL131972,,,,
AL131973,,,,
AL131974,,,,
AL131975,,,,
AL131976,,,,
AL131977,,,,
AL131978,,,,
AL131979,,,,
AL131980,,,,
AL131981,,,,
AL131984,,,,
AL131985,,,,1077.5361208918246
AL131987,,,,1077.5361208918246
AL131988,,,,
AL131989,,,,
AL131990,,,,
AL131995,,,,
AL131996,,,,
AL131998,,,,
AL131999,,,,17240.577934269193
AL132000,,,,
AL132001,,,,
AL132002,,,,1077.5361208918246
AL132003,,,,17240.577934269193
AL132004,1131412.926936416,86202.88967134597,4310.144483567298,
AL132005,38791.30035210569,,,
AL132007,86202.88967134597,21820.106448059447,9697.825088026422,
AL132008,9697.825088026422,269.38403022295614,,
AL132010,275849.2469483071,68962.31173707677,13199.817480924854,
AL132011,1090197.1703123036,,,
AL132012,182103.60443071838,38791.30035210569,15085.505692485545,
AL132013,107753.61208918248,,,
AL132016,182103.60443071838,,,
AL132017,130381.87062791077,32326.083626754742,11314.12926936416,
AL132018,6284190.657041121,1163739.0105631705,45525.901107679594,
AL132019,4342470.567194053,1594753.4589199005,520449.94639075134,
AL132020,700398.478579686,226282.58538728318,77582.60070421136,2424.4562720066056
AL132021,,,,17240.577934269193
AL132022,293089.8248825763,38791.30035210569,6465.216725350948,52799.26992369942
AL132023,3555869.1989430217,1318904.2119715936,474115.89319240284,155165.20140842276
AL132024,226282.58538728318,45256.51707745664,11314.12926936416,52799.26992369942
AL141887,,,,
AL141916,,,,4310.144483567298
AL141932,,,,
AL141933,,,,
AL141936,,,,
AL141944,,,,
AL141949,,,,
AL141950,,,,
AL141953,,,,
AL141954,,,,4310.144483567298
AL141959,,,,
AL141966,,,,
AL141967,,,,
AL141968,,,,1077.5361208918246
AL141970,,,,
AL141971,,,,
AL141972,,,,
AL141973,,,,
AL141974,,,,
AL141975,,,,
AL141976,,,,
AL141977,,,,
AL141978,,,,
AL141979,,,,
AL141980,,,,
AL141981,,,,
AL141984,,,,
AL141985,,,,
AL141987,,,,
AL141988,,,,
AL141989,,,,1077.5361208918246
AL141990,,,,
AL141995,,,,
AL141998,,,,
AL141999,,,,
AL142000,,,,
AL142001,,,,
AL142002,,,,
AL142003,,,,
AL142004,161630.4181337737,,,
AL142005,4310144.483567298,1637854.9037555736,484891.25440132106,
AL142007,116373.90105631706,,,
AL142008,80815.20906688685,,,
AL142010,68962.31173707677,11314.12926936416,2155.072241783649,
AL142011,1280112.9116194877,193956.50176052842,17240.577934269193,
AL142012,2047318.6296944667,196111.5740023121,26938.40302229562,
AL142013,2036543.268485549,290934.75264079263,,
AL142016,1638932.4398764656,348044.1670480594,73272.45622064408,
AL142017,407308.6536971098,118528.97329810071,32595.467656977693,
AL142018,3077443.161267052,785523.8321301402,45525.901107679594,1077.5361208918246
AL142019,1396486.8126758048,349121.70316895115,,
AL142020,168095.63485912466,16163.041813377371,2424.4562720066056,
AL142021,307097.79445417,68962.31173707677,12122.281360033028,107753.61208918248
AL142022,203654.3268485549,25860.86690140379,,107753.61208918248
AL142023,1629234.6147884391,368517.35334500397,82970.2813086705,68962.31173707677
AL142024,1760694.0215372413,429936.912235838,38791.30035210569,38791.30035210569
AL151887,,,,
AL151916,,,,
AL151932,,,,
AL151933,,,,
AL151936,,,,
AL151949,,,,
AL151950,,,,
AL151954,,,,
AL151966,,,,
AL151967,,,,
AL151968,,,,
AL151969,,,,
AL151970,,,,
AL151971,,,,
AL151972,,,,
AL151973,,,,
AL151974,,,,
AL151975,,,,
AL151976,,,,
AL151977,,,,
AL151978,,,,
AL151979,,,,
AL151980,,,,
AL151981,,,,
AL151984,,,,
AL151988,,,,
AL151989,,,,
AL151990,,,,
AL151995,,,,4310.144483567298
AL151999,,,,
AL152000,,,,
AL152001,,,,
AL152003,,,,
AL152004,2693840.3022295614,,,
AL152005,1508550.5692485545,320028.2279048719,86202.88967134597,
AL152007,290934.75264079263,,,
AL152008,378215.17843303044,123916.65390255985,24244.562720066056,
AL152010,315179.31536085875,,,
AL152011,378215.17843303044,86202.88967134597,,
AL152012,271539.1024647398,,,
AL152013,1685266.493074814,87280.42579223779,,
AL152016,5333803.798414532,1173436.8356511972,241368.09107976872,
AL152017,1435278.1130279102,475193.4293132947,174560.85158447557,2424.4562720066056
AL152018,129304.33450701897,26938.40302229562,,
AL152019,,,,
AL152020,,,,
AL152021,1315671.603608918,43101.444835672984,,155165.20140842276
AL152022,103443.46760561517,21820.106448059447,4848.912544013211,52799.26992369942
AL152023,9920875.06505103,329726.05299289833,96978.25088026423,107753.61208918248
AL152024,543078.2049294796,,,155165.20140842276
AL161887,,,,
AL161933,,,,
AL161936,,,,
AL161949,,,,
AL161950,,,,
AL161954,,,,
AL161966,,,,
AL161967,,,,
AL161968,,,,
AL161969,,,,
AL161970,,,,
AL161971,,,,
AL161972,,,,
AL161973,,,,
AL161974,,,,
AL161975,,,,
AL161976,,,,
AL161978,,,,
AL161979,,,,
AL161980,,,,
AL161981,,,,
AL161984,,,,
AL161988,,,,
AL161990,,,,
AL161995,,,,
AL161999,,,,
AL162000,,,,
AL162001,,,,
AL162003,,,,
AL162004,2262825.853872832,,,
AL162005,724104.2732393063,211197.07969479766,60611.40680016514,
AL162007,6051442.854928487,1590443.3144363333,109100.53224029724,
AL162008,,,,
AL162010,969782.5088026422,,,
AL162011,1085617.6417985132,142234.76795772085,38791.30035210569,
AL162012,51721.73380280758,,,
AL162016,107753.61208918248,38791.30035210569,9697.825088026422,
AL162017,310330.40281684545,58186.95052815854,13199.817480924854,4310.144483567298
AL162018,16757841.752109656,960084.6837146159,290934.75264079263,
AL162019,620660.805633691,,,
AL162020,86202.88967134597,8620.288967134597,1077.5361208918246,
AL162021,43101.444835672984,,,52799.26992369942
AL162022,11724670.531423945,2143219.3444538396,96978.25088026423,107753.61208918248
AL162023,882502.0830104044,96978.25088026421,,431014.44835672993
AL162024,87280.42579223779,9697.825088026422,2424.4562720066056,68962.31173707677
AL171887,,,,
AL171933,,,,
AL171936,,,,
AL171966,,,,
AL171967,,,,
AL171969,,,,
AL171971,,,,
AL171972,,,,
AL171973,,,,
AL171974,,,,
AL171975,,,,
AL171976,,,,
AL171978,,,,
AL171979,,,,
AL171980,,,,
AL171981,,,,
AL171984,,,,
AL171988,,,,
AL171995,,,,26938.40302229562
AL172000,,,,
AL172001,,,,
AL172003,,,,
AL172005,193956.50176052845,26938.40302229562,2424.4562720066056,
AL172007,606114.0680016514,25860.86690140379,,
AL172008,310330.40281684545,92129.338336251,26938.40302229562,
AL172010,1163739.0105631705,135769.5512323699,12930.433450701896,
AL172011,640056.4558097438,68962.31173707677,26938.40302229562,
AL172012,9865920.722885545,431014.44835672993,77582.60070421136,
AL172017,2948138.8267600327,491356.47112667206,87280.42579223779,
AL172019,211197.07969479766,,,
AL172020,2180933.108685053,594799.9387322873,155165.20140842276,
AL172021,103443.46760561517,,,87280.4257922378
AL172022,2430921.4887319566,118528.97329810071,4310.144483567298,1724057.7934269197
AL172023,452565.17077456636,,,107753.61208918248
AL172024,290934.75264079263,116373.90105631707,,52799.26992369942
AL181887,,,,
AL181933,,,,
AL181967,,,,
AL181970,,,,
AL181971,,,,
AL181972,,,,
AL181974,,,,
AL181975,,,,
AL181976,,,,
AL181978,,,,
AL181979,,,,
AL181980,,,,
AL181981,,,,
AL181984,,,,
AL181988,,,,
AL181995,,,,
AL182000,,,,
AL182003,,,,
AL182005,1002108.5924293969,474115.89319240284,185874.98085383975,4310.144483567298
AL182010,97247.63491048718,21820.106448059447,11314.129269364159,
AL182011,310330.40281684545,107753.61208918248,19395.65017605284,
AL182012,7969457.150115934,1422347.6795772088,290934.75264079263,68962.31173707677
AL182017,116373.90105631706,,,
AL182019,756430.3568660609,26938.40302229562,,
AL182020,51721.73380280758,,,
AL182021,5042869.04577374,872804.2579223779,96978.25088026423,68962.31173707677
AL182023,204731.8629694467,,,38791.30035210569
AL182024,290934.75264079263,68962.31173707677,21820.106448059447,155165.20140842276
AL191887,,,,
AL191933,,,,
AL191967,,,,
AL191969,,,,
AL191970,,,,
AL191971,,,,
AL191972,,,,
AL191974,,,,
AL191975,,,,
AL191976,,,,
AL191978,,,,
AL191979,,,,
AL191981,,,,
AL191984,,,,
AL191988,,,,
AL191995,,,,
AL192000,,,,
AL192003,,,,
AL192005,,,,
AL192010,196111.57400231212,26938.40302229562,6734.600755573905,
AL192011,2182010.6448059455,64652.167253509484,,
AL192012,140079.6957159372,,,
AL192017,655141.9615022293,52799.269923699416,,
AL192019,9115955.582744837,1260717.261443435,130381.87062791077,
AL192020,368517.35334500397,96978.25088026423,26669.01899207266,2424.4562720066056
AL192021,68962.31173707677,,,107753.61208918248
AL192023,43101.444835672984,,,68962.31173707677
AL192024,142234.76795772085,,,26938.40302229562
AL201933,,,,
AL201969,,,,
AL201970,,,,
AL201971,,,,
AL201974,,,,
AL201975,,,,
AL201976,,,,
AL201978,,,,
AL201979,,,,
AL201981,,,,
AL201984,,,,
AL201995,,,,
AL202003,,,,
AL202005,266690.18992072664,48489.125440132106,9697.825088026422,
AL202010,210119.5435739058,12930.433450701896,,
AL202011,38791.30035210569,,,
AL202019,1282267.9838612715,248910.8439260115,,
AL202020,5342424.0873816665,1315671.603608918,366362.2811032204,
AL202021,387913.00352105685,26938.40302229562,,52799.26992369942
AL202023,1099086.8433096611,196111.5740023121,15085.505692485545,68962.31173707677
AL211967,,,,
AL211969,,,,
AL211970,,,,
AL211971,,,,
AL211975,,,,
AL211976,,,,
AL211978,,,,
AL211981,,,,
AL211995,,,,
AL212003,,,,
AL212005,87280.42579223779,,,
AL212010,963047.9080470683,68962.31173707677,17240.577934269193,
AL212020,129304.33450701897,,,
AL212021,4790725.593485053,177793.45994715104,,431014.44835672993
AL212023,,,,68962.31173707677
AL221969,,,,
AL221970,,,,
AL221971,,,,
AL221975,,,,
AL221978,,,,
AL221981,,,,
AL222005,656758.2656835672,,,
AL222020,387913.0035210569,43101.444835672984,,
AL231967,,,,
AL231969,,,,
AL231970,,,,
AL231975,,,,
AL231978,,,,
AL232005,,,,
AL232020,135769.5512323699,,,
AL241967,,,,
AL241969,,,,
AL241978,,,,
AL242005,211197.07969479766,38791.30035210569,9697.825088026422,
AL242020,1493465.0635560693,181026.06830982657,,
AL251967,,,,
AL251969,,,,
AL252005,2943020.5301857963,581869.5052815854,218201.0644805945,6734.600755573905
AL252020,452565.1707745664,37713.76423121387,,
AL261969,,,,
AL262005,45525.901107679594,,,
AL262020,592644.8664905035,87280.42579223779,35558.69198943021,2424.4562720066056
AL271967,,,,
AL271969,,,,
AL272005,130381.87062791077,26938.40302229562,9697.825088026422,
AL272020,3685173.5334500405,693933.2618543351,142234.76795772085,
AL281967,,,,
AL281969,,,,
AL282005,87280.42579223779,,,
AL282020,1406184.6377638313,106676.07596829064,17240.577934269193,4310.144483567298
AL291969,,,,
AL292005,2559148.2871180833,315179.31536085875,,
AL292020,646521.6725350948,51721.73380280758,17240.577934269193,
AL301969,,,,
AL302005,568939.0718308834,86202.88967134597,24244.562720066056,
AL302020,835090.4936911641,38791.30035210569,,
AL312005,471422.0528901733,38791.30035210569,,
AL312020,1002108.5924293969,196111.5740023121,49027.89350057802,
