code,size_34kt_sqkm,size_50kt_sqkm,size_64kt_sqkm,size_max_sqkm
AL021970,,,,
AL021971,,,,
AL021972,,,,
AL021973,,,,
AL021974,,,,
AL021975,,,,
AL021976,,,,
AL021977,,,,
AL021978,,,,
AL021979,,,,
AL021980,,,,
AL021981,,,,
AL021982,,,,
AL021983,,,,
AL021984,,,,
AL021985,,,,4310.144483567298
AL021986,,,,1077.5361208918246
AL021987,,,,
AL021988,,,,
AL021989,,,,
AL021990,,,,
AL021991,,,,
AL021992,,,,
AL021993,,,,
AL021994,,,,
AL021995,,,,
AL021996,,,,17240.577934269193
AL021997,,,,
AL021998,,,,38791.30035210569
AL021999,,,,
AL022000,,,,
AL022001,,,,
AL022002,,,,
AL022003,,,,
AL022004,64113.399193063575,9697.825088026422,,
AL022005,38791.30035210569,,,
AL022006,,,,
AL022007,484891.2544013211,4310.144483567298,,
AL022008,1280112.9116194877,266690.18992072664,48489.12544013211,
AL022009,38791.30035210569,,,
AL022010,,,,
AL022011,107484.22805895952,8620.288967134597,,
AL022012,310330.40281684545,25860.86690140379,,
AL022013,86202.88967134597,,,
AL022014,,,,
AL022015,224127.5131454995,4310.144483567298,,
AL022016,10775.361208918246,,,
AL022017,116373.90105631707,,,
AL022018,43101.444835672984,9697.825088026422,1077.5361208918246,
AL022019,521527.4825116431,58186.95052815854,17240.577934269193,17240.577934269193
AL022020,4310.144483567298,,,
AL022021,68962.31173707677,,,38791.30035210569
AL022022,241368.09107976872,60342.02276994218,17240.577934269193,155165.20140842276
AL022023,38791.30035210569,,,107753.61208918248
AL022024,521527.4825116431,118528.97329810071,38791.30035210569,107753.61208918248
AL031851,,,,
AL031852,,,,
AL031853,,,,
AL031854,,,,17240.577934269193
AL031855,,,,
AL031856,,,,
AL031857,,,,
AL031858,,,,21820.10644805945
AL031859,,,,
AL031860,,,,
AL031861,,,,
AL031862,,,,
AL031863,,,,
AL031864,,,,
AL031865,,,,
AL031866,,,,
AL031867,,,,
AL031868,,,,
AL031869,,,,
AL031870,,,,
AL031871,,,,9697.825088026422
AL031872,,,,
AL031873,,,,
AL031874,,,,
AL031875,,,,
AL031876,,,,
AL031877,,,,
AL031878,,,,
AL031879,,,,
AL031880,,,,
AL031881,,,,
AL031882,,,,
AL031883,,,,
AL031884,,,,
AL031885,,,,
AL031886,,,,
AL031887,,,,
AL031888,,,,
AL031889,,,,
AL031890,,,,
AL031891,,,,
AL031892,,,,
AL031893,,,,
AL031894,,,,
AL031895,,,,
AL031896,,,,
AL031897,,,,
AL031898,,,,
AL031899,,,,
AL031900,,,,
AL031901,,,,
AL031902,,,,
AL031903,,,,21820.10644805945
AL031904,,,,
AL031905,,,,
AL031906,,,,
AL031907,,,,
AL031908,,,,
AL031909,,,,
AL031910,,,,
AL031911,,,,6734.600755573905
AL031912,,,,
AL031913,,,,
AL031915,,,,
AL031916,,,,
AL031917,,,,
AL031918,,,,9697.825088026422
AL031919,,,,
AL031920,,,,
AL031921,,,,
AL031922,,,,
AL031923,,,,
AL031924,,,,17240.577934269193
AL031925,,,,
AL031926,,,,4310.144483567298
AL031927,,,,
AL031928,,,,
AL031929,,,,
AL031930,,,,
AL031931,,,,
AL031932,,,,
AL031933,,,,
AL031934,,,,6734.600755573905
AL031935,,,,4310.144483567298
AL031936,,,,269.38403022295614
AL031937,,,,
AL031938,,,,
AL031939,,,,
AL031940,,,,6734.600755573905
AL031941,,,,
AL031942,,,,4310.144483567298
AL031943,,,,
AL031944,,,,1077.5361208918246
AL031945,,,,
AL031946,,,,
AL031947,,,,
AL031948,,,,
AL031949,,,,
AL031950,,,,
AL031951,,,,
AL031952,,,,
AL031953,,,,
AL031954,,,,
AL031955,,,,
AL031956,,,,
AL031957,,,,
AL031958,,,,
AL031959,,,,
AL031960,,,,
AL031961,,,,4310.144483567298
AL031962,,,,
AL031963,,,,
AL031964,,,,
AL031965,,,,9697.825088026422
AL031966,,,,
AL031967,,,,
AL031968,,,,
AL031969,,,,
AL031970,,,,
AL031971,,,,
AL031972,,,,
AL031973,,,,
AL031974,,,,
AL031975,,,,
AL031976,,,,
AL031977,,,,
AL031978,,,,
AL031979,,,,
AL031980,,,,
AL031981,,,,
AL031982,,,,
AL031983,,,,1077.5361208918246
AL031984,,,,
AL031985,,,,
AL031986,,,,
AL031987,,,,
AL031988,,,,
AL031989,,,,
AL031990,,,,
AL031991,,,,6734.600755573905
AL031992,,,,
AL031993,,,,
AL031994,,,,
AL031995,,,,
AL031996,,,,
AL031997,,,,
AL031998,,,,
AL031999,,,,1077.5361208918246
AL032000,,,,
AL032001,,,,
AL032002,,,,
AL032003,,,,
AL032004,293359.2089127993,87280.42579223779,29093.475264079265,4310.144483567298
AL032005,210119.5435739058,29632.243324525178,4310.144483567298,4310.144483567298
AL032006,754275.2846242773,38791.30035210569,,
AL032007,4202390.871478116,471422.0528901733,,
AL032008,142234.76795772085,,,
AL032009,2129480.758912469,491356.47112667206,189107.58921651522,
AL032010,72733.68816019816,,,
AL032011,130920.6386883567,9428.441057803468,,
AL032012,182103.60443071838,51721.73380280758,9697.825088026422,
AL032013,120684.04553988436,,,
AL032014,256453.59677225433,17240.577934269193,4310.144483567298,
AL032015,90513.03415491329,,,
AL032016,1163739.0105631705,,,
AL032017,749965.14014071,,,
AL032018,1396486.8126758046,142234.76795772085,24513.94675028901,
AL032019,,,,
AL032020,1034434.6760561516,8620.288967134597,,
AL032021,349121.70316895115,,,242445.62720066056
AL032022,37713.76423121387,,,26938.40302229562
AL032023,258608.66901403794,38791.30035210569,,38791.30035210569
AL032024,,,,52799.26992369942
AL041851,,,,
AL041852,,,,
AL041853,,,,
AL041854,,,,
AL041855,,,,
AL041856,,,,
AL041857,,,,
AL041858,,,,
AL041859,,,,
AL041860,,,,
AL041861,,,,
AL041862,,,,
AL041863,,,,
AL041864,,,,
AL041865,,,,
AL041866,,,,
AL041867,,,,
AL041868,,,,
AL041869,,,,
AL041870,,,,
AL041871,,,,
AL041872,,,,
AL041873,,,,
AL041874,,,,
AL041875,,,,
AL041876,,,,
AL041877,,,,
AL041878,,,,
AL041879,,,,
AL041880,,,,
AL041881,,,,
AL041882,,,,
AL041883,,,,
AL041884,,,,
AL041885,,,,
AL041886,,,,
AL041887,,,,
AL041888,,,,
AL041889,,,,
AL041890,,,,
AL041891,,,,
AL041892,,,,
AL041893,,,,9697.825088026422
AL041894,,,,
AL041895,,,,
AL041896,,,,2424.4562720066056
AL041897,,,,
AL041898,,,,
AL041899,,,,
AL041900,,,,
AL041901,,,,13199.817480924856
AL041902,,,,
AL041903,,,,
AL041904,,,,
AL041905,,,,
AL041906,,,,
AL041907,,,,
AL041908,,,,
AL041909,,,,4310.144483567298
AL041910,,,,
AL041911,,,,
AL041912,,,,26938.40302229562
AL041913,,,,17240.577934269193
AL041915,,,,6734.600755573905
AL041916,,,,4310.144483567298
AL041917,,,,17240.577934269193
AL041918,,,,
AL041919,,,,
AL041920,,,,
AL041921,,,,
AL041922,,,,
AL041923,,,,
AL041924,,,,
AL041925,,,,
AL041926,,,,
AL041927,,,,
AL041928,,,,13199.817480924856
AL041929,,,,
AL041931,,,,
AL041932,,,,
AL041933,,,,
AL041934,,,,
AL041935,,,,
AL041936,,,,
AL041937,,,,
AL041938,,,,
AL041939,,,,
AL041940,,,,
AL041941,,,,
AL041942,,,,
AL041943,,,,
AL041944,,,,
AL041945,,,,
AL041946,,,,
AL041947,,,,6734.600755573905
AL041948,,,,
AL041949,,,,
AL041950,,,,
AL041951,,,,
AL041952,,,,
AL041953,,,,
AL041954,,,,
AL041955,,,,
AL041956,,,,
AL041957,,,,
AL041958,,,,
AL041959,,,,4310.144483567298
AL041960,,,,
AL041961,,,,
AL041962,,,,
AL041963,,,,
AL041964,,,,
AL041965,,,,
AL041966,,,,
AL041970,,,,1077.5361208918246
AL041971,,,,
AL041972,,,,
AL041973,,,,
AL041974,,,,
AL041975,,,,
AL041976,,,,
AL041977,,,,
AL041978,,,,
AL041979,,,,
AL041980,,,,
AL041981,,,,
AL041982,,,,
AL041983,,,,
AL041984,,,,
AL041985,,,,2424.4562720066056
AL041986,,,,
AL041987,,,,
AL041988,,,,
AL041989,,,,2424.4562720066056
AL041990,,,,
AL041991,,,,
AL041992,,,,4310.144483567298
AL041993,,,,
AL041994,,,,
AL041995,,,,
AL041996,,,,
AL041997,,,,
AL041998,,,,
AL041999,,,,
AL042000,,,,
AL042001,,,,
AL042002,,,,
AL042003,,,,2424.4562720066056
AL042004,409733.1099691164,142504.15198794383,24244.562720066053,
AL042005,999414.7521271674,189107.58921651522,52529.88589347645,269.38403022295614
AL042006,82431.51324822458,6734.600755573905,,
AL042007,969782.5088026422,382255.9388863748,87280.42579223779,
AL042008,620660.805633691,96978.25088026423,21550.722417836492,1077.5361208918246
AL042009,72733.68816019816,,,
AL042010,87280.42579223779,6734.600755573905,,
AL042011,25860.86690140379,,,
AL042012,851792.3035649875,52799.269923699416,,
AL042013,52799.269923699416,,,
AL042014,3232608.362675474,543078.2049294796,67884.77561618495,
AL042015,68962.31173707677,26938.40302229562,6734.600755573905,
AL042016,116373.90105631706,,,
AL042017,,,,
AL042018,103443.46760561517,,,
AL042019,26938.40302229562,,,
AL042020,38791.30035210569,,,
AL042021,22628.258538728318,,,17240.577934269193
AL042023,43101.444835672984,,,38791.30035210569
AL042024,620660.805633691,68962.31173707677,12930.433450701896,620660.805633691
AL051851,,,,
AL051852,,,,
AL051853,,,,
AL051854,,,,
AL051855,,,,
AL051856,,,,
AL051858,,,,
AL051859,,,,
AL051860,,,,
AL051861,,,,
AL051862,,,,
AL051863,,,,
AL051864,,,,
AL051865,,,,
AL051866,,,,
AL051867,,,,
AL051869,,,,
AL051870,,,,
AL051871,,,,
AL051872,,,,
AL051873,,,,6734.600755573905
AL051874,,,,
AL051875,,,,
AL051876,,,,
AL051877,,,,
AL051878,,,,
AL051879,,,,
AL051880,,,,
AL051881,,,,2424.4562720066056
AL051882,,,,
AL051885,,,,
AL051886,,,,2424.4562720066056
AL051887,,,,
AL051888,,,,
AL051889,,,,
AL051891,,,,
AL051892,,,,
AL051893,,,,
AL051894,,,,
AL051895,,,,
AL051896,,,,
AL051897,,,,
AL051898,,,,
AL051899,,,,
AL051900,,,,
AL051901,,,,
AL051902,,,,
AL051903,,,,
AL051904,,,,
AL051905,,,,
AL051906,,,,9697.825088026422
AL051907,,,,
AL051908,,,,
AL051909,,,,
AL051910,,,,9697.825088026422
AL051911,,,,
AL051912,,,,
AL051913,,,,
AL051915,,,,
AL051916,,,,
AL051918,,,,
AL051919,,,,
AL051920,,,,
AL051921,,,,
AL051922,,,,
AL051923,,,,
AL051924,,,,
AL051926,,,,
AL051927,,,,
AL051928,,,,
AL051929,,,,
AL051931,,,,
AL051932,,,,
AL051933,,,,6734.600755573905
AL051934,,,,
AL051935,,,,
AL051936,,,,4310.144483567298
AL051937,,,,
AL051938,,,,
AL051939,,,,
AL051940,,,,
AL051941,,,,4310.144483567298
AL051942,,,,
AL051943,,,,
AL051944,,,,
AL051945,,,,1077.5361208918246
AL051946,,,,
AL051947,,,,
AL051948,,,,
AL051949,,,,
AL051950,,,,2424.4562720066056
AL051951,,,,
AL051952,,,,
AL051953,,,,
AL051954,,,,
AL051955,,,,
AL051956,,,,
AL051957,,,,
AL051958,,,,
AL051959,,,,4310.144483567298
AL051960,,,,26938.40302229562
AL051961,,,,
AL051962,,,,
AL051963,,,,
AL051964,,,,1077.5361208918246
AL051965,,,,
AL051966,,,,
AL051968,,,,
AL051969,,,,
AL051970,,,,
AL051971,,,,
AL051972,,,,
AL051973,,,,
AL051974,,,,
AL051975,,,,
AL051976,,,,
AL051977,,,,
AL051978,,,,
AL051979,,,,
AL051980,,,,
AL051981,,,,
AL051982,,,,
AL051983,,,,
AL051984,,,,
AL051985,,,,1077.5361208918246
AL051986,,,,2424.4562720066056
AL051987,,,,
AL051988,,,,
AL051989,,,,
AL051990,,,,
AL051991,,,,
AL051992,,,,
AL051993,,,,9697.825088026422
AL051994,,,,
AL051995,,,,17240.577934269193
AL051996,,,,
AL051997,,,,1077.5361208918246
AL051998,,,,52799.26992369942
AL051999,,,,
AL052000,,,,
AL052001,,,,
AL052002,,,,
AL052003,,,,
AL052004,72733.68816019816,,,
AL052005,545233.2771712632,210927.69566457468,77851.98473443434,
AL052006,60342.02276994218,,,
AL052007,21820.106448059447,,,
AL052008,135769.5512323699,,,
AL052009,552776.0300175061,,,
AL052010,,,,
AL052011,145467.37632039635,,,
AL052012,407308.6536971097,60342.02276994218,9697.825088026422,
AL052013,71117.38397886042,,,
AL052014,129304.33450701897,,,
AL052015,181026.06830982654,,,
AL052016,329726.0529928984,43101.444835672984,4310.144483567298,
AL052017,16163.041813377371,,,
AL052018,210119.5435739058,,,
AL052019,2527899.7396122213,646521.6725350948,126071.72614434348,4310.144483567298
AL052020,,,,
AL052021,371749.9617076795,25860.86690140379,4310.144483567298,87280.4257922378
AL052022,1515015.7859739054,348044.1670480594,71117.38397886042,38791.30035210569
AL052023,232747.80211263415,30171.01138497109,2424.4562720066056,349121.7031689512
AL052024,1275802.7671359202,431014.44835672993,130381.87062791077,211197.0796947977
AL061851,,,,
AL061853,,,,
AL061856,,,,
AL061858,,,,
AL061859,,,,
AL061860,,,,
AL061861,,,,
AL061862,,,,
AL061863,,,,
AL061865,,,,
AL061866,,,,
AL061867,,,,
AL061869,,,,9697.825088026422
AL061870,,,,
AL061871,,,,
AL061874,,,,
AL061875,,,,
AL061877,,,,
AL061878,,,,
AL061879,,,,
AL061880,,,,
AL061881,,,,2424.4562720066056
AL061882,,,,
AL061885,,,,
AL061886,,,,
AL061887,,,,
AL061888,,,,
AL061889,,,,
AL061891,,,,
AL061892,,,,
AL061893,,,,6734.600755573905
AL061894,,,,
AL061895,,,,
AL061896,,,,
AL061897,,,,
AL061898,,,,
AL061899,,,,
AL061900,,,,
AL061901,,,,
AL061903,,,,
AL061904,,,,
AL061906,,,,21820.10644805945
AL061908,,,,
AL061909,,,,
AL061911,,,,
AL061912,,,,
AL061913,,,,
AL061915,,,,4310.144483567298
AL061916,,,,6734.600755573905
AL061918,,,,
AL061921,,,,4310.144483567298
AL061923,,,,21820.10644805945
AL061924,,,,
AL061926,,,,
AL061927,,,,
AL061928,,,,
AL061931,,,,
AL061932,,,,
AL061933,,,,17240.577934269193
AL061934,,,,
AL061935,,,,
AL061936,,,,
AL061937,,,,
AL061938,,,,17240.577934269193
AL061939,,,,
AL061940,,,,
AL061941,,,,
AL061942,,,,
AL061943,,,,
AL061944,,,,
AL061945,,,,
AL061946,,,,13199.817480924856
AL061947,,,,
AL061948,,,,
AL061949,,,,
AL061950,,,,
AL061951,,,,
AL061952,,,,
AL061953,,,,
AL061954,,,,6734.600755573905
AL061955,,,,
AL061956,,,,
AL061957,,,,
AL061958,,,,
AL061959,,,,
AL061960,,,,4310.144483567298
AL061961,,,,
AL061962,,,,
AL061963,,,,
AL061964,,,,269.38403022295614
AL061965,,,,
AL061966,,,,
AL061968,,,,
AL061969,,,,
AL061971,,,,
AL061972,,,,
AL061973,,,,
AL061974,,,,
AL061975,,,,
AL061976,,,,
AL061977,,,,
AL061978,,,,
AL061979,,,,
AL061980,,,,
AL061981,,,,
AL061982,,,,
AL061983,,,,
AL061984,,,,
AL061985,,,,
AL061986,,,,
AL061987,,,,
AL061988,,,,
AL061989,,,,
AL061990,,,,
AL061991,,,,
AL061992,,,,
AL061993,,,,
AL061994,,,,
AL061995,,,,
AL061996,,,,17240.577934269193
AL061997,,,,
AL061998,,,,
