code,min_pressure_mb
AL031932,979.0
AL031933,
AL031934,979.0
AL031935,892.0
AL031936,987.0
AL031937,
AL031938,
AL031939,
AL031940,972.0
AL031941,990.0
AL031942,950.0
AL031943,
AL031944,985.0
AL031945,
AL031946,
AL031947,984.0
AL031948,
AL031949,
AL031950,974.0
AL031951,996.0
AL031952,1000.0
AL031953,973.0
AL031954,
AL031955,969.0
AL031956,954.0
AL031957,998.0
AL031958,947.0
AL031959,974.0
AL031960,976.0
AL031961,927.0
AL031962,995.0
AL031963,990.0
AL031964,1000.0
AL031965,942.0
AL031966,994.0
AL031967,1006.0
AL031968,995.0
AL031969,
AL031970,1008.0
AL031971,
AL031972,
AL031973,
AL031974,
AL031975,
AL031976,
AL031977,
AL031978,
AL031979,
AL031980,
AL031981,999.0
AL031982,989.0
AL031983,962.0
AL031984,
AL031985,980.0
AL031986,
AL031987,1007.0
AL031988,1005.0
AL031989,1005.0
AL031990,973.0
AL031991,950.0
AL031992,1015.0
AL031993,1002.0
AL031994,999.0
AL031995,991.0
AL031996,985.0
AL031997,986.0
AL031998,1000.0
AL031999,944.0
AL032000,950.0
AL032001,990.0
AL032002,999.0
AL032003,997.0
AL032004,941.0
AL032005,991.0
AL032006,1000.0
AL032007,964.0
AL032008,998.0
AL032009,943.0
AL032010,1005.0
AL032011,994.0
AL032012,974.0
AL032013,1003.0
AL032014,996.0
AL032015,1003.0
AL032016,987.0
AL032017,991.0
AL032018,969.0
AL032019,1013.0
AL032020,982.0
AL032021,1003.0
AL032022,1011.0
AL032023,996.0
AL032024,1005.0
AL041851,
AL041852,
AL041853,
AL041854,
AL041855,997.0
AL041856,
AL041857,
AL041858,
AL041859,
AL041860,
AL041861,
AL041862,
AL041863,
AL041864,
AL041865,
AL041866,
AL041867,
AL041868,
AL041869,
AL041870,948.0
AL041871,962.0
AL041872,
AL041873,
AL041874,
AL041875,
AL041876,
AL041877,
AL041878,972.0
AL041879,
AL041880,972.0
AL041881,
AL041882,1005.0
AL041883,
AL041884,
AL041885,
AL041886,990.0
AL041887,
AL041888,
AL041889,
AL041890,
AL041891,
AL041892,
AL041893,952.0
AL041894,985.0
AL041895,
AL041896,960.0
AL041897,
AL041898,965.0
AL041899,
AL041900,
AL041901,973.0
AL041902,970.0
AL041903,990.0
AL041904,
AL041905,945.0
AL041906,950.0
AL041907,
AL041908,
AL041909,959.0
AL041910,
AL041911,
AL041912,
AL041913,976.0
AL041915,982.0
AL041916,960.0
AL041917,928.0
AL041918,
AL041919,
AL041920,
AL041921,979.0
AL041922,
AL041923,
AL041924,965.0
AL041925,980.0
AL041926,957.0
AL041927,967.0
AL041928,929.0
AL041929,
AL041931,
AL041932,
AL041933,
AL041934,
AL041935,
AL041936,
AL041937,
AL041938,979.0
AL041939,
AL041940,961.0
AL041941,
AL041942,
AL041943,
AL041944,973.0
AL041945,
AL041946,975.0
AL041947,938.0
AL041948,1007.0
AL041949,974.0
AL041950,953.0
AL041951,968.0
AL041952,969.0
AL041953,929.0
AL041954,
AL041955,967.0
AL041956,1000.0
AL041957,945.0
AL041958,948.0
AL041959,995.0
AL041960,995.0
AL041961,961.0
AL041962,950.0
AL041963,996.0
AL041964,1006.0
AL041965,974.0
AL041966,989.0
AL041970,944.0
AL041971,974.0
AL041972,
AL041973,986.0
AL041974,
AL041975,980.0
AL041976,
AL041977,
AL041978,1005.0
AL041979,986.0
AL041980,899.0
AL041981,
AL041982,
AL041983,986.0
AL041984,
AL041985,987.0
AL041986,
AL041987,
AL041988,987.0
AL041989,984.0
AL041990,1000.0
AL041991,1009.0
AL041992,922.0
AL041993,1007.0
AL041994,979.0
AL041995,999.0
AL041996,989.0
AL041997,1003.0
AL041998,960.0
AL041999,942.0
AL042000,1009.0
AL042001,997.0
AL042002,997.0
AL042003,979.0
AL042004,964.0
AL042005,930.0
AL042006,1001.0
AL042007,905.0
AL042008,963.0
AL042009,1005.0
AL042010,1005.0
AL042011,997.0
AL042012,990.0
AL042013,1002.0
AL042014,963.0
AL042015,960.0
AL042016,1007.0
AL042017,1009.0
AL042018,998.0
AL042019,1007.0
AL042020,1000.0
AL042021,1009.0
AL042023,1004.0
AL042024,979.0
AL051851,
AL051852,
AL051853,
AL051854,
AL051855,
AL051856,969.0
AL051858,
AL051859,
AL051860,
AL051861,
AL051862,
AL051863,
AL051864,
AL051865,
AL051866,
AL051867,
AL051869,
AL051870,969.0
AL051871,
AL051872,
AL051873,959.0
AL051874,
AL051875,
AL051876,958.0
AL051877,
AL051878,970.0
AL051879,
AL051880,977.0
AL051881,970.0
AL051882,
AL051885,999.0
AL051886,925.0
AL051887,
AL051888,999.0
AL051889,
AL051891,
AL051892,
AL051893,
AL051894,
AL051895,
AL051896,
AL051897,
AL051898,
AL051899,939.0
AL051900,
AL051901,
AL051902,
AL051903,
AL051904,
AL051905,
AL051906,977.0
AL051907,
AL051908,
AL051909,1004.0
AL051910,924.0
AL051911,
AL051912,
AL051913,
AL051915,
AL051916,
AL051918,
AL051919,
AL051920,
AL051921,
AL051922,
AL051923,
AL051924,980.0
AL051926,
AL051927,
AL051928,984.0
AL051929,
AL051931,
AL051932,
AL051933,975.0
AL051934,998.0
AL051935,955.0
AL051936,964.0
AL051937,
AL051938,
AL051939,
AL051940,
AL051941,962.0
AL051942,
AL051943,
AL051944,
AL051945,963.0
AL051946,
AL051947,
AL051948,983.0
AL051949,
AL051950,960.0
AL051951,992.0
AL051952,
AL051953,1007.0
AL051954,999.0
AL051955,1004.0
AL051956,1000.0
AL051957,1003.0
AL051958,983.0
AL051959,980.0
AL051960,930.0
AL051961,919.0
AL051962,958.0
AL051963,999.0
AL051964,938.0
AL051965,1000.0
AL051966,1008.0
AL051968,985.0
AL051969,
AL051970,
AL051971,
AL051972,
AL051973,
AL051974,1006.0
AL051975,
AL051976,
AL051977,926.0
AL051978,1005.0
AL051979,
AL051980,
AL051981,
AL051982,994.0
AL051983,994.0
AL051984,1000.0
AL051985,953.0
AL051986,980.0
AL051987,1000.0
AL051988,994.0
AL051989,968.0
AL051990,980.0
AL051991,
AL051992,965.0
AL051993,960.0
AL051994,1005.0
AL051995,973.0
AL051996,933.0
AL051997,984.0
AL051998,964.0
AL051999,962.0
AL052000,1007.0
AL052001,994.0
AL052002,1002.0
AL052003,1000.0
AL052004,1009.0
AL052005,929.0
AL052006,999.0
AL052007,995.0
AL052008,996.0
AL052009,1006.0
AL052010,1007.0
AL052011,1003.0
AL052012,973.0
AL052013,1006.0
AL052014,1000.0
AL052015,1001.0
AL052016,979.0
AL052017,1005.0
AL052018,999.0
AL052019,910.0
AL052020,1005.0
AL052021,991.0
AL052022,972.0
AL052023,986.0
AL052024,967.0
AL061851,
AL061853,
AL061856,
AL061858,
AL061859,938.0
AL061860,
AL061861,
AL061862,
AL061863,
AL061865,
AL061866,938.0
AL061867,
AL061869,950.0
AL061870,959.0
AL061871,
AL061874,980.0
AL061875,
AL061877,
AL061878,
AL061879,
AL061880,987.0
AL061881,975.0
AL061882,
AL061885,
AL061886,
AL061887,972.0
AL061888,985.0
AL061889,
AL061891,
AL061892,
AL061893,954.0
AL061894,931.0
AL061895,
AL061896,
AL061897,
AL061898,
AL061899,
AL061900,
AL061901,
AL061903,
AL061904,
AL061906,953.0
AL061908,
AL061909,
AL061911,
AL061912,
AL061913,1003.0
AL061915,931.0
AL061916,932.0
AL061918,
AL061921,941.0
AL061923,983.0
AL061924,1005.0
AL061926,
AL061927,
AL061928,
AL061931,
AL061932,
AL061933,948.0
AL061934,
AL061935,988.0
AL061936,
AL061937,951.0
AL061938,940.0
AL061939,
AL061940,1004.0
AL061941,1004.0
AL061942,
AL061943,
AL061944,992.0
AL061945,990.0
AL061946,977.0
AL061947,987.0
AL061948,
AL061949,996.0
AL061950,946.0
AL061951,937.0
AL061952,958.0
AL061953,989.0
AL061954,955.0
AL061955,967.0
AL061956,999.0
AL061957,1000.0
AL061958,1000.0
AL061959,1007.0
AL061960,974.0
AL061961,995.0
AL061962,998.0
AL061963,990.0
AL061964,942.0
AL061965,977.0
AL061966,950.0
AL061968,
AL061969,1001.0
AL061971,977.0
AL061972,
AL061973,1005.0
AL061974,992.0
AL061975,
AL061976,999.0
AL061977,995.0
AL061978,980.0
AL061979,997.0
AL061980,975.0
AL061981,996.0
AL061982,950.0
AL061983,999.0
AL061984,1004.0
AL061985,
AL061986,
AL061987,
AL061988,994.0
AL061989,
AL061990,1003.0
AL061991,944.0
AL061992,965.0
AL061993,1000.0
AL061994,1006.0
AL061995,1002.0
AL061996,946.0
AL061997,1008.0
AL061998,990.0
AL061999,1004.0
AL062000,1008.0
AL062001,968.0
AL062002,998.0
AL062003,1010.0
AL062004,935.0
AL062005,997.0
AL062006,985.0
AL062007,929.0
AL062008,986.0
AL062009,1004.0
AL062010,942.0
AL062011,1004.0
AL062012,1002.0
AL062013,1001.0
AL062014,955.0
AL062015,986.0
AL062016,1004.0
AL062017,1001.0
AL062018,937.0
AL062019,1002.0
AL062020,998.0
AL062021,991.0
AL062022,948.0
AL062023,998.0
AL062024,972.0
AL071853,
AL071859,
AL071860,
AL071861,
AL071863,
AL071865,975.0
AL071866,
AL071867,
AL071869,979.0
AL071870,
AL071871,
AL071874,
AL071877,
AL071878,938.0
AL071879,
AL071880,
AL071881,
AL071885,
AL071886,
AL071887,
AL071888,970.0
AL071889,
AL071891,1004.0
AL071892,
AL071893,
AL071894,955.0
AL071896,
AL071898,938.0
AL071899,
AL071900,
AL071901,
AL071903,
AL071906,
AL071908,
AL071909,
AL071912,965.0
AL071916,
AL071921,
AL071923,994.0
AL071924,
AL071926,930.0
AL071927,
AL071931,987.0
AL071932,
AL071933,
AL071934,
AL071935,964.0
AL071936,1009.0
AL071937,1002.0
AL071938,996.0
AL071940,984.0
AL071942,
AL071943,997.0
AL071944,918.0
AL071945,
AL071946,1002.0
AL071947,
AL071948,
AL071949,
AL071950,960.0
AL071951,
AL071952,998.0
AL071953,962.0
AL071954,994.0
AL071955,996.0
AL071956,974.0
AL071957,975.0
AL071958,1001.0
AL071959,994.0
AL071960,1000.0
AL071961,948.0
AL071962,991.0
AL071963,933.0
AL071964,969.0
AL071965,991.0
AL071966,1004.0
AL071969,996.0
AL071970,
AL071971,
AL071972,
AL071973,
AL071974,1007.0
AL071975,963.0
AL071976,957.0
AL071977,993.0
AL071978,
AL071979,
AL071980,989.0
AL071981,
AL071982,
AL071984,1007.0
AL071985,
AL071986,
AL071987,1000.0
AL071988,982.0
AL071989,968.0
AL071990,1007.0
AL071991,998.0
AL071992,1001.0
AL071993,966.0
AL071994,997.0
AL071995,929.0
AL071996,1005.0
AL071997,946.0
AL071998,937.0
AL071999,1006.0
AL072000,991.0
AL072001,962.0
AL072002,1013.0
AL072003,1016.0
AL072004,985.0
AL072005,1005.0
AL072006,963.0
AL072007,1004.0
AL072008,941.0
AL072009,958.0
AL072010,927.0
AL072011,1000.0
AL072012,1004.0
AL072013,1003.0
AL072014,983.0
AL072015,1000.0
AL072016,955.0
AL072017,981.0
AL072018,996.0
AL072019,1000.0
AL072020,997.0
AL072021,967.0
AL072022,931.0
AL072023,998.0
AL072024,1004.0
AL081853,
AL081859,989.0
AL081861,999.0
AL081863,
AL081867,
AL081869,
AL081870,
AL081871,
AL081877,
AL081878,982.0
AL081879,968.0
AL081880,928.0
AL081885,
AL081886,
AL081887,963.0
AL081888,
AL081889,
AL081891,
AL081892,
AL081893,
AL081898,1008.0
AL081899,
AL081901,
AL081903,
AL081906,953.0
AL081908,
AL081909,
AL081916,986.0
AL081923,992.0
AL081924,999.0
AL081926,
AL081927,
AL081931,
AL081932,
AL081933,940.0
AL081934,
AL081935,
AL081936,999.0
AL081937,
AL081938,1004.0
AL081940,993.0
AL081942,
AL081943,
AL081944,
AL081945,1009.0
AL081947,
AL081948,940.0
AL081949,
AL081950,
AL081951,999.0
AL081952,
AL081953,1004.0
AL081954,943.0
AL081955,938.0
AL081956,970.0
AL081957,991.0
AL081958,930.0
AL081959,951.0
AL081960,
AL081961,988.0
AL081963,948.0
AL081964,1003.0
AL081965,993.0
AL081966,997.0
AL081968,1012.0
AL081969,950.0
AL081970,1002.0
AL081971,1004.0
AL081972,
AL081973,977.0
AL081974,
AL081975,965.0
AL081976,996.0
AL081977,
AL081978,
AL081979,
AL081980,
AL081981,
AL081982,997.0
AL081984,989.0
AL081985,994.0
AL081986,1000.0
AL081987,
AL081988,888.0
AL081989,979.0
AL081990,956.0
AL081991,997.0
AL081992,1008.0
AL081993,970.0
AL081994,1004.0
AL081995,988.0
AL081996,935.0
AL081997,1004.0
AL081998,999.0
AL081999,921.0
AL082000,1008.0
AL082001,975.0
AL082002,960.0
AL082003,986.0
AL082004,1002.0
AL082005,994.0
AL082006,955.0
