code,min_pressure_mb
AL151988,
AL151989,1000.0
AL151990,989.0
AL151995,949.0
AL151999,999.0
AL152000,939.0
AL152001,933.0
AL152003,969.0
AL152004,986.0
AL152005,979.0
AL152007,996.0
AL152008,958.0
AL152010,998.0
AL152011,994.0
AL152012,994.0
AL152013,995.0
AL152016,950.0
AL152017,908.0
AL152018,995.0
AL152019,1006.0
AL152020,1003.0
AL152021,989.0
AL152022,985.0
AL152023,958.0
AL152024,1002.0
AL161887,990.0
AL161933,
AL161936,
AL161949,993.0
AL161950,
AL161954,991.0
AL161966,994.0
AL161967,1004.0
AL161968,997.0
AL161969,977.0
AL161970,1003.0
AL161971,
AL161972,
AL161973,968.0
AL161974,
AL161975,
AL161976,
AL161978,947.0
AL161979,
AL161980,986.0
AL161981,946.0
AL161984,965.0
AL161988,
AL161990,989.0
AL161995,987.0
AL161999,933.0
AL162000,973.0
AL162001,986.0
AL162003,952.0
AL162004,995.0
AL162005,976.0
AL162007,965.0
AL162008,1004.0
AL162010,994.0
AL162011,940.0
AL162012,1005.0
AL162016,975.0
AL162017,981.0
AL162018,952.0
AL162019,996.0
AL162020,994.0
AL162021,1005.0
AL162022,932.0
AL162023,981.0
AL162024,984.0
AL171887,
AL171933,971.0
AL171936,
AL171966,997.0
AL171967,
AL171969,984.0
AL171971,996.0
AL171972,
AL171973,
AL171974,999.0
AL171975,
AL171976,970.0
AL171978,
AL171979,
AL171980,
AL171981,
AL171984,
AL171988,
AL171995,916.0
AL172000,965.0
AL172001,973.0
AL172003,993.0
AL172005,985.0
AL172007,1003.0
AL172008,944.0
AL172010,976.0
AL172011,976.0
AL172012,966.0
AL172017,957.0
AL172019,992.0
AL172020,965.0
AL172021,1004.0
AL172022,980.0
AL172023,998.0
AL172024,977.0
AL181887,
AL181933,982.0
AL181967,1000.0
AL181970,974.0
AL181971,989.0
AL181972,
AL181974,1006.0
AL181975,
AL181976,
AL181978,
AL181979,980.0
AL181980,985.0
AL181981,959.0
AL181984,971.0
AL181988,
AL181995,994.0
AL182000,999.0
AL182003,1002.0
AL182005,895.0
AL182010,981.0
AL182011,966.0
AL182012,940.0
AL182017,1000.0
AL182019,977.0
AL182020,1001.0
AL182021,927.0
AL182023,999.0
AL182024,954.0
AL191887,
AL191933,
AL191967,987.0
AL191969,1007.0
AL191970,995.0
AL191971,1005.0
AL191972,1001.0
AL191974,
AL191975,1002.0
AL191976,
AL191978,1001.0
AL191979,
AL191981,
AL191984,
AL191988,
AL191995,956.0
AL192000,976.0
AL192003,990.0
AL192005,1006.0
AL192010,977.0
AL192011,982.0
AL192012,1000.0
AL192017,991.0
AL192019,965.0
AL192020,965.0
AL192021,1008.0
AL192023,1005.0
AL192024,997.0
AL201933,
AL201969,964.0
AL201970,1008.0
AL201971,
AL201974,
AL201975,
AL201976,
AL201978,1006.0
AL201979,
AL201981,998.0
AL201984,980.0
AL201995,1001.0
AL202003,993.0
AL202005,977.0
AL202010,989.0
AL202011,1002.0
AL202019,970.0
AL202020,945.0
AL202021,997.0
AL202023,965.0
AL211967,1011.0
AL211969,987.0
AL211970,
AL211971,992.0
AL211975,
AL211976,990.0
AL211978,
AL211981,980.0
AL211995,970.0
AL212003,990.0
AL212005,997.0
AL212010,982.0
AL212020,1001.0
AL212021,973.0
AL212023,1007.0
AL221969,1004.0
AL221970,1004.0
AL221971,994.0
AL221975,
AL221978,
AL221981,978.0
AL222005,1001.0
AL222020,993.0
AL231967,1002.0
AL231969,995.0
AL231970,987.0
AL231975,985.0
AL231978,990.0
AL232005,1005.0
AL232020,1006.0
AL241967,1006.0
AL241969,1000.0
AL241978,
AL242005,988.0
AL242020,992.0
AL251967,981.0
AL251969,978.0
AL252005,882.0
AL252020,978.0
AL261969,973.0
AL262005,998.0
AL262020,953.0
AL271967,1006.0
AL271969,990.0
AL272005,962.0
AL272020,952.0
AL281967,1004.0
AL281969,988.0
AL282005,1002.0
AL282020,970.0
AL291969,979.0
AL292005,980.0
AL292020,922.0
AL301969,
AL302005,981.0
AL302020,987.0
AL312005,994.0
AL312020,917.0
