code,aew_strength_minus_0_days,aew_strength_minus_2_days,aew_strength_minus_3_days
AL081987,2.92361059513596E-06,2.69503644622681E-06,1.36611678110704E-05
AL091987,2.70031529013158E-06,3.52692378643326E-06,2.69503644622681E-06
AL101987,3.00380874709134E-06,2.92361059513596E-06,3.52692378643326E-06
AL111987,6.2535971653198E-06,3.11486486615751E-06,2.54467990104748E-06
AL121987,1.06752320127595E-05,5.59865104477506E-06,3.90077742690538E-06
AL131987,4.7094738935816E-06,7.67420797534028E-06,1.1559923584805E-05
AL141987,0.0,4.91557249103002E-06,5.22105901704988E-06
AL131988,0.0,0.0,0.0
AL011988,1.12420907147263E-05,1.93972410807793E-06,1.31721424543668E-05
AL021988,1.07373959691863E-05,6.90156137078059E-06,1.12420907147263E-05
AL141988,7.75804092926479E-06,8.31495430082593E-06,8.75552467017123E-06
AL151988,5.0850290897505E-06,4.52268076138357E-06,7.73093098828379E-06
AL161988,5.0850290897505E-06,4.52268076138357E-06,7.73093098828379E-06
AL031988,1.13761535997587E-05,3.18441516310158E-06,4.52268076138357E-06
AL041988,1.20435636076152E-05,4.2364881288038E-06,8.91834286165173E-06
AL051988,3.99692762891219E-06,8.32389289301877E-06,1.20435636076152E-05
AL171988,5.17720227808743E-06,3.33176926984378E-06,8.32389289301877E-06
AL061988,6.84561102452375E-06,4.63054008801256E-06,5.17720227808743E-06
AL071988,6.84561102452375E-06,4.63054008801256E-06,5.17720227808743E-06
AL081988,9.08839342358075E-06,7.11462585529036E-06,4.63054008801256E-06
AL091988,5.03636975919737E-06,6.19175070876544E-06,3.94182686085341E-06
AL181988,9.97692332037057E-06,9.76673096545205E-06,5.32463713470324E-06
AL101988,1.11067518097149E-05,9.69348252836285E-06,9.76673096545205E-06
AL111988,2.60111002554695E-06,6.53917078962397E-06,8.14543369891064E-06
AL191988,3.42997205259072E-06,5.64919378223285E-06,4.79736052809103E-06
AL121988,0.0,0.0,0.0
AL011989,3.76447217668452E-06,3.01530610549788E-06,6.89256530908346E-06
AL021989,6.68261844712492E-06,2.87648592664056E-06,7.23787891309158E-06
AL031989,4.32174048717228E-06,4.93221583576933E-06,3.04194242821256E-06
AL041989,5.19854464672386E-06,4.89780613752513E-06,4.70810697145951E-06
AL051989,2.1478938178568E-06,5.48763640338382E-06,4.89780613752513E-06
AL061989,9.2446088244345E-06,3.48205695730533E-06,3.38561685437766E-06
AL071989,8.296260211601E-06,5.355735443861E-06,2.91539537961216E-06
AL081989,6.84549006311092E-06,6.57296419994596E-06,4.21740097137344E-06
AL091989,5.58754693837299E-06,1.12360141438232E-05,6.57296419994596E-06
AL101989,3.72312043659628E-06,3.40530735319527E-06,5.58754693837299E-06
AL111989,1.06766083679039E-05,2.87517969467158E-06,3.37298035978744E-06
AL121989,3.85376579630946E-06,3.08123639113441E-06,7.0219192995418E-06
AL131989,4.22157205146109E-06,3.44091644814829E-06,3.47866754343417E-06
AL141989,5.29991998878653E-06,2.75554753242063E-06,6.3869843624521E-06
AL151989,0.0,0.0,0.0
AL011990,0.0,0.0,0.0
AL021990,1.06916262397029E-05,1.0785442868031E-05,8.49919059425147E-06
AL031990,1.32853805826187E-05,1.06916262397029E-05,1.08274133852115E-05
AL041990,5.62489664494794E-06,7.95936512864066E-06,7.9871635149833E-06
AL061990,6.50579474144393E-06,5.62489664494794E-06,2.50803904120938E-06
AL051990,8.72349769829318E-06,6.50579474144393E-06,5.53376092639452E-06
AL071990,8.79583388449526E-06,4.70448205895819E-07,3.91463452762099E-06
AL081990,2.9996415807729E-06,2.8806549849807E-06,3.06167324491282E-06
AL091990,5.09271849146428E-06,2.89200780366435E-06,2.8806549849807E-06
AL101990,6.18002152680198E-06,8.70578124209404E-06,3.97234198362581E-06
AL111990,9.96311643729758E-06,3.30983246439461E-06,2.32305508528005E-06
AL121990,4.22022627511503E-06,6.6550860959163E-06,9.96311643729758E-06
AL131990,1.61146636952992E-06,3.669924443614E-06,5.88156362199924E-06
AL141990,2.61385321242924E-06,1.1402527846126E-06,1.61146636952992E-06
AL151990,5.75023904154842E-06,5.03794254105254E-06,2.61385321242924E-06
AL161990,3.32917795381515E-06,7.49159161532452E-06,6.11630813110434E-06
AL011991,3.70266017272453E-06,3.08941789105952E-06,5.43837888251935E-06
AL021991,1.35572165938875E-05,1.24773511630068E-05,4.47488415089646E-06
AL031991,7.13160567176074E-06,2.85777846385927E-06,4.33345374360308E-06
AL041991,5.94228423923922E-06,3.61930754712192E-06,6.47182588669964E-06
AL051991,6.45829831837856E-06,4.21738225664825E-06,6.4843697682578E-06
AL061991,6.30580413766974E-06,2.95262882766399E-06,3.53196916077203E-06
AL071991,7.92872800380566E-06,8.07810278446151E-06,6.30580413766974E-06
AL081991,3.81371608259668E-06,9.31824457855677E-06,8.07810278446151E-06
AL091991,1.15189129832859E-05,1.40098602041234E-05,5.82060044871858E-06
AL101991,2.22231103725807E-06,3.39949245382224E-06,6.30805482809939E-06
AL111991,3.96365095047759E-06,8.20081556295214E-06,3.39949245382224E-06
AL121991,3.49767025800712E-06,4.55669560803628E-06,3.96365095047759E-06
AL011992,0.0,0.0,0.0
AL021992,2.86094212717582E-06,2.9497410137115E-06,2.78729426187015E-06
AL031992,4.19391171363805E-06,2.59632142929103E-06,3.60472388085629E-06
AL041992,7.63294969549744E-06,6.35854866772436E-06,1.19249758365148E-05
AL051992,3.3844800783912E-06,1.52261447087241E-05,1.47493345599348E-05
AL061992,4.10149916580637E-06,4.08317707549534E-06,4.74616837668766E-06
AL071992,2.4692298758341E-06,4.35954110579689E-06,4.08317707549534E-06
AL081992,3.39286348806417E-06,3.18777652283015E-06,2.4692298758341E-06
AL091992,3.24132738814545E-06,5.00752484842222E-06,3.18777652283015E-06
AL101992,5.3296222436708E-06,2.0595302380994E-06,4.13512283261127E-06
AL011993,0.0,0.0,0.0
AL021993,3.01708326160065E-06,3.13550422411374E-06,3.66585967512122E-06
AL031993,4.11313785667602E-06,3.35345235097446E-06,4.76825660597312E-06
AL041993,2.96943225848671E-06,3.96151823805228E-06,1.68539128270584E-06
AL051993,2.64918841520941E-06,2.45040369309927E-06,4.68796670900809E-06
AL061993,3.30491713338947E-06,1.14302249576461E-06,2.45040369309927E-06
AL071993,9.78896415868238E-06,1.63512375541253E-06,5.48691329566712E-06
AL081993,4.38470076230698E-06,4.39105205754533E-06,1.28033742065175E-06
AL091993,5.14239869271387E-06,3.42114127093931E-06,5.46704037513094E-06
AL101993,9.23524626857544E-07,1.57070550457738E-06,8.98462684262213E-06
AL011994,5.64178390659659E-06,6.56073276954547E-06,4.28611336192655E-06
AL021994,7.35620586998053E-06,6.91544915821215E-06,5.59512306286217E-06
AL031994,2.94517581271323E-06,3.84910899254247E-06,2.9832898174357E-06
AL041994,7.34719729843147E-06,2.94517581271323E-06,6.61332927331685E-06
AL051994,1.37255748138698E-05,1.03565062076017E-05,1.05480498327431E-05
AL061994,8.48001925748555E-06,1.29392844168826E-05,1.07976000475859E-05
AL071994,9.82884681226408E-06,5.96751206174944E-06,9.21468075584509E-06
AL081994,5.56537739800531E-06,3.85931585700108E-06,9.82884681226408E-06
AL091994,1.19672873512406E-06,2.24666478702953E-06,5.56537739800531E-06
AL101994,3.22917681099157E-06,1.19672873512406E-06,8.35283422606427E-06
AL111994,0.0,5.59725363403495E-06,3.4318596468384E-06
AL121994,0.0,0.0,0.0
AL011995,3.80082901094004E-06,0.0,0.0
AL021995,4.00764246179109E-06,2.94113049369622E-06,9.32659668319146E-06
AL031995,7.35294365895514E-06,7.02441353755099E-06,1.83863239172298E-06
AL041995,5.8455111808058E-06,2.28450688884619E-06,3.57560126182522E-06
AL051995,7.12721321581927E-06,6.77421206825435E-06,5.8455111808058E-06
AL061995,7.25169131721652E-06,4.826840196191E-06,8.33390434657531E-06
AL071995,1.42721860367158E-05,5.45953256794961E-06,7.25169131721652E-06
AL081995,2.91199222275489E-06,1.43304656555472E-05,5.45953256794961E-06
AL091995,3.33171524563061E-06,2.28642397343E-06,5.50810863266387E-06
AL101995,3.33171524563061E-06,2.28642397343E-06,5.50810863266387E-06
AL111995,3.33171524563061E-06,2.28642397343E-06,5.50810863266387E-06
AL121995,1.06204143270145E-06,2.84155415081958E-06,3.07124468327005E-06
AL131995,1.48185222973581E-06,1.06204143270145E-06,7.76239740995449E-07
AL141995,3.23357713685887E-06,8.58301771420456E-06,5.71566432185174E-06
AL151995,3.84433172329978E-06,4.43483324831373E-06,3.23357713685887E-06
AL161995,8.12372487800122E-06,6.49025125475369E-06,8.48580878906053E-06
AL171995,4.18323196336657E-06,3.07455948697875E-06,6.49025125475369E-06
AL181995,1.6600197784927E-05,6.30432898088796E-06,3.72694891806416E-06
AL191995,1.26743223211747E-05,1.36101970989785E-05,1.6600197784927E-05
AL201995,0.0,4.82883670004772E-06,5.7593619248071E-06
AL211995,1.35685979436935E-06,8.21782495322324E-06,4.50053627196821E-06
AL011996,4.9270607132666E-06,5.36143033159136E-06,8.20177231318697E-06
AL021996,3.87668916714836E-06,1.00619351536499E-05,1.01005181288306E-05
AL031996,9.3784465405599E-06,5.55100687673649E-06,1.85895097281015E-06
AL041996,1.30112663247544E-05,3.8033847212969E-06,1.50419331548744E-05
AL051996,1.30112663247544E-05,3.8033847212969E-06,1.50419331548744E-05
AL061996,4.20218425354927E-06,2.60723172345164E-06,1.13282251850357E-05
AL071996,7.02943716935661E-06,5.77617645992975E-06,4.20218425354927E-06
AL081996,1.35412867393398E-05,6.73527276057151E-06,4.66486787317953E-06
AL091996,4.23119538738309E-06,2.57361765049424E-06,3.1183168671453E-06
AL101996,5.25579733694317E-06,3.67330030918122E-06,2.32434809971484E-06
AL111996,9.60736194901085E-06,5.28779544136246E-06,1.78403181339583E-06
AL121996,9.42502873063493E-06,9.11942395073563E-06,9.60736194901085E-06
AL131996,0.0,0.0,0.0
AL011997,0.0,0.0,0.0
AL021997,5.41261488878485E-06,1.95978662807262E-06,4.7041599309161E-06
AL031997,8.2185689167779E-06,7.92271985730599E-06,9.10332235946227E-06
AL041997,6.82462500258516E-06,8.2185689167779E-06,8.62125166846836E-06
AL051997,5.61740405517927E-06,5.77678055690032E-06,6.82462500258516E-06
AL061997,2.42779666791456E-06,9.30590615788803E-06,5.77678055690032E-06
AL071997,5.79528697074467E-06,9.08335876514826E-06,1.02670413768916E-05
AL081997,5.7795259214294E-06,4.78619009356304E-06,6.59421955439536E-07
AL091997,3.58479555651123E-06,3.22425186146985E-06,9.99333911449514E-06
AL011998,7.58985776061863E-06,1.25540673100321E-05,9.84194179410636E-06
AL021998,8.55725857326364E-06,9.28594546252026E-06,8.8092432606309E-06
AL031998,6.77698792842248E-06,8.55725857326364E-06,1.03969252891384E-05
AL041998,1.04656226203124E-05,7.28837834363215E-06,6.77698792842248E-06
AL051998,8.36041189173608E-06,7.51736275625811E-06,8.8158226153003E-06
AL061998,4.45784480309762E-06,8.72676155403616E-06,5.27442368383724E-06
AL071998,1.08323709501606E-05,5.87469411209376E-06,4.50131096646213E-06
AL081998,4.00358763193269E-06,1.08323709501606E-05,9.8196683533614E-06
AL091998,8.54535057728575E-06,4.00358763193269E-06,4.31451302117618E-06
AL101998,1.06479723279555E-05,8.54535057728575E-06,8.87329154440338E-06
AL111998,3.58111064064709E-06,1.06479723279555E-05,1.00172177736179E-05
AL121998,6.87159361319414E-06,9.24394202088394E-06,1.91011858413269E-06
AL131998,6.82309848889156E-06,2.05550792912059E-06,2.69857557461849E-06
AL141998,0.0,0.0,0.0
AL011999,5.28494189930551E-06,3.21329473809471E-06,3.95245007524154E-06
AL021999,5.6049684680898E-06,6.20658162050792E-06,3.42153619278486E-06
AL031999,4.81809640655266E-06,5.12695031006033E-06,3.92998920941389E-06
AL041999,8.03918158011148E-06,2.87844240499814E-06,5.12695031006033E-06
AL051999,5.32955529733663E-06,8.29328072571949E-06,1.26185583652913E-05
AL061999,5.32955529733663E-06,8.29328072571949E-06,1.26185583652913E-05
AL071999,6.46240414006502E-06,5.58416421916012E-06,5.47946762815545E-06
AL081999,2.30556366819308E-06,6.46240414006502E-06,4.13599629542068E-06
AL091999,3.13423033716973E-06,7.00171333667598E-06,2.04518389049733E-06
AL101999,4.80591419848788E-06,3.94291824259711E-06,6.3414022239341E-06
AL111999,4.27739822815599E-06,5.56740313032993E-06,4.56623416421784E-06
AL121999,2.38034574322508E-06,4.27739822815599E-06,7.01817506304038E-06
AL131999,1.58508702079378E-05,1.15697971219403E-05,1.36290540175881E-05
AL141999,2.49953738416136E-06,3.80713435597281E-06,3.94564121946678E-06
AL151999,6.52523414132863E-06,4.81009751318666E-06,2.63613326029493E-06
AL161999,0.0,0.0,0.0
AL012000,7.57457756713085E-06,3.29842384517311E-06,4.34220878168516E-06
AL022000,3.10649203546881E-06,3.32928208498836E-06,2.88037015283642E-06
AL032000,3.40359735469313E-06,9.71995669722217E-06,6.13413668414742E-06
AL042000,4.88127353469729E-06,5.713638090695E-06,3.9864182296053E-06
AL052000,8.86521407227961E-06,5.05966325514389E-06,3.71474785580958E-06
AL062000,9.84306912130774E-06,4.63308231708935E-06,8.01959370012115E-06
AL072000,6.38656208471102E-06,9.84306912130774E-06,5.44797618032675E-06
AL082000,1.06044999128971E-05,6.21843039077066E-06,3.88871232437791E-06
AL092000,3.51499488461585E-06,1.74898312821417E-06,3.69590524595152E-06
AL102000,9.10100301573172E-06,3.51499488461585E-06,1.08612867249666E-06
AL112000,4.56410855245572E-06,8.72901316664498E-06,1.12941944864898E-05
AL122000,1.44293481064386E-06,2.17586478583598E-06,8.72901316664498E-06
AL132000,9.12601176306967E-06,5.85707498389927E-06,4.60218770312633E-06
AL142000,4.36047084986127E-06,2.81433459907042E-06,2.0694451251064E-06
AL152000,2.63621900352775E-06,2.60646432730454E-06,4.36047084986127E-06
AL162000,6.62099413697342E-06,5.26367198924238E-06,3.56928758222266E-06
AL172000,6.23389452277548E-06,9.85536073748941E-06,5.08623576369657E-06
AL182000,4.62306369760279E-06,3.64539389449751E-06,5.94485564156188E-06
AL192000,0.0,1.88296383980832E-05,3.57952063394918E-05
AL012001,4.80978723288387E-06,3.29078393742048E-06,2.00953587570946E-06
AL022001,4.79165337728049E-06,5.79588643503509E-06,2.76970483893652E-06
AL032001,5.43104656502149E-06,9.38313360653357E-06,1.42022376590062E-05
AL042001,8.31661827604838E-06,3.72693991314564E-06,1.21711069806204E-05
AL052001,6.87266869574203E-06,1.32182794773776E-05,1.56251074959248E-05
AL062001,6.06890899495449E-06,5.08446609321016E-06,6.55743283553082E-06
AL072001,9.31602775637028E-06,4.84897708637197E-06,3.18405993314869E-06
AL082001,3.42490443560096E-06,4.84445013051368E-06,3.82584292270051E-06
AL092001,3.01489059354847E-06,3.33669883046704E-06,4.5173362527158E-06
AL102001,5.07976168472615E-06,3.01489059354847E-06,4.76216751930314E-06
AL112001,4.44559702483098E-06,2.20320518293446E-06,2.79248146712325E-06
AL122001,5.27569488648594E-06,4.44559702483098E-06,3.16103203181168E-06
AL132001,3.2499931976621E-06,2.15528570277678E-06,4.57230012103558E-06
AL142001,3.47079313919677E-06,3.21400431245688E-06,3.34460926406218E-06
AL152001,4.37980508419571E-06,3.47079313919677E-06,0.0
AL162001,0.0,0.0,0.0
AL172001,0.0,0.0,0.0
AL012002,1.07009491046199E-05,3.96733084546512E-06,5.77610285608361E-06
AL022002,7.29553815376432E-06,7.78264168210434E-06,7.9683676651382E-06
AL032002,6.56650024862344E-06,5.23661845289853E-06,7.78264168210434E-06
AL042002,6.7046941643151E-06,4.41613412439775E-06,3.75814793243163E-06
AL052002,7.6363017569952E-06,3.12132127777966E-06,6.7046941643151E-06
AL062002,9.4264567146793E-06,5.36019086756802E-06,2.44808616595565E-06
AL072002,2.44067690914369E-06,9.4264567146793E-06,6.0037059771503E-06
AL082002,2.89911453776788E-06,1.50295829366938E-05,9.4264567146793E-06
AL092002,5.39563478254101E-06,3.32161717945817E-06,2.90036977135716E-06
AL102002,1.03577103776449E-05,5.39563478254101E-06,7.09849104490325E-06
AL112002,5.65067258206381E-06,2.80511507959566E-06,1.03577103776449E-05
AL122002,5.9745764064168E-06,9.35607034189214E-06,5.65067258206381E-06
AL132002,3.41451913683382E-06,7.68695807990813E-06,9.35607034189214E-06
AL142002,8.98899833603249E-06,1.19988795204852E-06,4.12035616001983E-06
AL012003,0.0,0.0,0.0
AL022003,6.37519954457422E-06,3.48385913492259E-06,2.53371574192969E-06
AL032003,2.1604221757473E-06,7.82984394388028E-06,8.5606377007488E-06
AL042003,5.27104347563667E-06,5.58931184253772E-06,1.17748258886615E-05
AL052003,6.32585766227416E-06,2.34475009190849E-06,2.36324430216236E-06
AL062003,2.90184491384022E-06,4.61018667357841E-06,6.32585766227416E-06
AL072003,4.63141218436507E-06,6.37888553945252E-06,3.88581889223097E-06
AL082003,5.62233619503457E-06,8.1984156024782E-06,3.50863081607534E-06
AL092003,1.36149214686353E-05,8.46637821931261E-06,4.60184125248497E-06
AL102003,1.67560551283871E-06,7.88250432192513E-06,5.01516025856548E-06
AL112003,8.82191199970361E-06,3.68975618514948E-06,1.67560551283871E-06
AL122003,9.80375480700096E-06,1.63388081928782E-06,8.3271879219207E-06
AL132003,3.29136056403682E-06,1.46313651392357E-05,9.80375480700096E-06
AL142003,1.75136527953838E-06,3.29136056403682E-06,1.20770723294428E-05
AL152003,3.31350644408689E-06,2.50779452776581E-06,1.83791715254821E-06
AL162003,2.46274400020365E-06,1.70762192964217E-06,2.50779452776581E-06
AL172003,4.18815964430626E-06,2.46274400020365E-06,3.31350644408689E-06
AL182003,5.24435823301576E-06,9.67119219252375E-07,6.20933770772518E-06
AL192003,4.15946465875935E-06,5.83189405776363E-06,5.24435823301576E-06
AL202003,0.0,0.0,0.0
AL212003,0.0,0.0,0.0
AL012004,3.30722263366253E-06,6.60883226891722E-06,4.30503614503236E-06
AL022004,5.6117692836533E-06,8.76059180140863E-06,3.30722263366253E-06
AL032004,5.6985151577068E-06,7.86638467536901E-06,9.0703923828801E-06
AL042004,1.28473336894634E-05,4.21455829323432E-06,4.84857350292121E-06
AL052004,1.28473336894634E-05,4.21455829323432E-06,4.84857350292121E-06
AL062004,9.84545289244645E-06,3.34651941728379E-06,1.76590862060562E-05
AL072004,2.13914587589998E-06,9.84545289244645E-06,5.0616069377203E-06
AL082004,2.13914587589998E-06,9.84545289244645E-06,5.0616069377203E-06
AL092004,2.63985111414714E-06,4.46723860697835E-06,2.94720704207992E-06
AL102004,5.65844726663662E-06,1.02890612349949E-05,6.04790863861952E-06
AL112004,5.2616726965252E-06,5.03638446801468E-06,3.6580536890867E-06
AL122004,3.37456839065508E-06,6.33860189487731E-06,5.2616726965252E-06
AL132004,3.58718884647715E-06,5.75268590547112E-06,3.37456839065508E-06
AL142004,1.48521050617088E-06,2.74681988506066E-06,3.69484078220304E-06
AL152004,2.6319712529865E-06,1.48521050617088E-06,2.01807130478851E-06
