code,formation_datetime,formation_lat,formation_lon
AL011974,1974-06-22 12:00:00,19.0,265.0
AL011975,1975-06-24 12:00:00,32.5,308.0
AL011976,1976-05-21 12:00:00,24.0,271.0
AL011977,1977-06-13 12:00:00,25.0,265.5
AL011978,1978-01-18 12:00:00,22.0,316.0
AL011979,1979-06-11 12:00:00,17.4,278.9
AL011980,1980-07-17 00:00:00,30.5,283.5
AL011981,1981-04-06 12:00:00,21.0,298.5
AL011982,1982-06-02 12:00:00,21.7,272.9
AL011983,1983-07-23 12:00:00,10.0,322.0
AL011984,1984-06-11 12:00:00,28.0,284.5
AL011985,1985-07-15 18:00:00,29.4,295.8
AL011986,1986-06-05 00:00:00,26.2,284.2
AL011987,1987-05-24 12:00:00,21.2,291.5
AL011988,1988-08-05 18:00:00,32.0,282.5
AL011989,1989-06-15 18:00:00,20.7,265.7
AL011990,1990-05-24 18:00:00,18.8,276.0
AL011991,1991-06-29 12:00:00,25.9,282.0
AL011992,1992-04-21 12:00:00,24.0,301.0
AL011993,1993-05-31 12:00:00,21.5,276.0
AL011994,1994-06-30 06:00:00,21.7,276.4
AL011995,1995-06-03 00:00:00,17.4,275.7
AL011996,1996-06-17 18:00:00,26.8,282.2
AL011997,1997-05-31 18:00:00,28.5,282.6
AL011998,1998-07-27 12:00:00,11.3,334.6
AL011999,1999-06-11 18:00:00,27.1,301.9
AL012000,2000-06-07 18:00:00,21.0,267.0
AL012001,2001-06-05 12:00:00,27.5,265.0
AL012002,2002-07-14 18:00:00,34.3,283.2
AL012003,2003-04-18 00:00:00,29.1,293.8
AL012004,2004-07-31 18:00:00,30.3,281.7
AL012005,2005-06-08 18:00:00,16.9,276.0
AL012006,2006-06-10 06:00:00,20.0,275.0
AL012007,2007-05-06 12:00:00,35.5,286.0
AL012008,2008-05-31 00:00:00,17.5,272.5
AL012009,2009-05-26 18:00:00,30.6,284.6
AL012010,2010-06-24 18:00:00,15.9,278.0
AL012011,2011-06-28 06:00:00,19.9,267.2
AL012012,2012-05-19 00:00:00,33.1,283.0
AL012013,2013-06-05 18:00:00,25.1,273.4
AL012014,2014-06-28 18:00:00,32.0,281.8
AL012015,2015-05-06 06:00:00,26.8,280.8
AL012016,2016-01-07 00:00:00,26.6,284.7
AL012017,2017-04-16 06:00:00,35.8,309.7
AL012018,2018-05-25 12:00:00,18.8,272.9
AL012019,2019-05-20 18:00:00,28.1,291.4
AL012020,2020-05-16 18:00:00,28.0,281.3
AL012021,2021-05-20 00:00:00,30.3,304.5
AL012022,2022-06-02 18:00:00,21.3,272.5
AL012023,2023-01-15 00:00:00,36.4,288.7
AL012024,2024-06-17 18:00:00,19.9,267.3
AL021851,1851-07-05 12:00:00,22.2,262.4
AL021852,1852-09-05 00:00:00,17.0,295.9
AL021853,1853-08-10 12:00:00,12.0,300.0
AL021854,1854-08-23 12:00:00,33.0,305.0
AL021855,1855-08-10 00:00:00,44.0,318.0
AL021856,1856-08-13 00:00:00,12.1,303.9
AL021857,1857-09-06 18:00:00,26.5,287.0
AL021858,1858-08-05 12:00:00,45.0,320.0
AL021859,1859-08-17 00:00:00,38.5,293.0
AL021860,1860-08-24 00:00:00,28.2,282.9
AL021861,1861-08-13 12:00:00,20.5,290.0
AL021862,1862-08-18 00:00:00,28.8,288.5
AL021863,1863-08-18 00:00:00,39.4,301.5
AL021864,1864-07-25 12:00:00,24.0,271.0
AL021865,1865-06-30 12:00:00,26.0,262.5
AL021866,1866-08-13 00:00:00,14.7,297.4
AL021867,1867-07-28 00:00:00,18.5,303.4
AL021868,1868-10-01 00:00:00,25.2,265.4
AL021869,1869-08-16 00:00:00,27.0,268.4
AL021870,1870-08-30 00:00:00,21.7,300.5
AL021871,1871-06-08 00:00:00,23.4,269.6
AL021872,1872-08-20 00:00:00,14.3,330.3
AL021873,1873-08-13 00:00:00,13.9,335.0
AL021874,1874-08-03 00:00:00,24.7,306.4
AL021875,1875-09-01 00:00:00,10.5,324.0
AL021876,1876-09-12 00:00:00,17.7,301.5
AL021877,1877-09-14 00:00:00,21.5,268.0
AL021878,1878-08-08 00:00:00,15.0,299.5
AL021879,1879-08-13 00:00:00,19.0,302.0
AL021880,1880-08-04 00:00:00,16.0,300.2
AL021881,1881-08-11 12:00:00,25.6,271.3
AL021882,1882-09-02 00:00:00,19.5,292.5
AL021883,1883-08-24 00:00:00,22.7,301.5
AL021884,1884-09-03 00:00:00,11.0,318.5
AL021885,1885-08-21 00:00:00,21.2,293.0
