code,cape_minus_0_days,cape_minus_2_days,cape_minus_3_days
AL102010,318.0,210.5,42.25
AL102011,998.875,222.25,78.0
AL102012,847.0,353.25,628.25
AL102013,2.25,240.125,999.75
AL102015,381.75,310.75,270.5
AL102016,17.75,92.0,129.25
AL102018,0.0,2.75,1.0
AL102019,1834.5,796.25,560.75
AL102020,293.0,117.5,1130.5
AL102021,781.25,1436.25,1138.5
AL102022,994.125,213.75,582.5
AL102023,0.0,1.25,33.5
AL102024,3.5,63.25,48.5
AL111942,0.375,0.0,0.0
AL111944,2711.5,2849.375,3658.25
AL111945,1971.5,1753.125,2991.5
AL111949,1778.0,771.125,1150.5
AL111950,474.0,75.25,549.625
AL111951,4.5,14.25,7.375
AL111952,0.0,0.0,2.0
AL111953,0.0,0.0,0.0
AL111954,0.0,0.25,3.625
AL111955,748.25,0.0,0.0
AL111956,2.875,93.5,250.125
AL111958,0.0,0.0,0.0
AL111959,39.125,1826.875,1695.875
AL111961,0.0,0.0,0.0
AL111964,109.125,688.625,591.5
AL111966,0.0,304.0,0.0
AL111967,1098.75,1367.875,1511.5
AL111970,498.375,712.75,561.5
AL111971,2.5,0.5,0.0
AL111972,0.0,0.0,0.5
AL111973,4.5,1023.25,1045.5
AL111974,398.75,748.25,279.625
AL111975,0.0,976.25,308.375
AL111976,1474.5,312.5,2284.25
AL111977,629.5,677.625,682.375
AL111978,0.375,3.75,0.0
AL111979,1454.75,555.0,219.25
AL111980,7.25,294.0,316.25
AL111981,472.0,1001.0,837.5
AL111984,0.0,0.0,0.0
AL111985,0.0,1555.125,0.0
AL111987,2468.625,2384.5,1729.5
AL111988,787.625,709.5,599.125
AL111989,571.0,1139.75,1909.25
AL111990,1538.5,1819.0,1598.375
AL111991,33.75,2.875,2.0
AL111994,0.0,0.0,0.0
AL111995,0.0,0.5,0.25
AL111996,0.75,715.625,1787.875
AL111998,44.25,2.0,8.5
AL111999,0.25,0.0,0.0
AL112000,1010.875,0.0,692.5
AL112001,2843.5,1728.625,1624.25
AL112002,159.25,211.75,4.875
AL112003,0.0,0.0,0.0
AL112004,2119.25,1290.5,2060.75
AL112005,0.0,1082.25,1.75
AL112007,2.0,3.25,69.0
AL112008,14.75,0.0,164.75
AL112009,509.375,1013.25,1284.375
AL112010,677.5,332.25,700.25
AL112011,1.0,21.25,6.5
AL112012,0.5,5.5,1.0
AL112013,378.125,0.0,0.0
AL112015,0.5,212.5,267.0
AL112016,51.0,1.125,2.5
AL112017,1801.0,1698.75,1843.5
AL112018,3092.25,1166.0,806.25
AL112019,0.0,0.0,0.25
AL112020,252.75,322.25,248.25
AL112021,2.75,1.0,4.25
AL112022,591.75,536.75,661.75
AL112023,0.0,0.0,96.0
AL112024,1797.375,598.25,1665.125
AL121944,7.875,25.75,25.0
AL121949,0.0,0.0,0.0
AL121950,4.25,0.375,0.375
AL121951,17.8125,14.1875,11.9375
AL121953,0.0,10.625,55.5
AL121954,1455.125,521.25,891.0
AL121955,2.5,0.0,0.0
AL121956,0.0,0.0,0.0
AL121958,0.0,0.0,0.0
AL121959,0.75,5.625,15.875
AL121961,0.0,0.0,0.0
AL121964,928.75,338.375,1253.625
AL121966,0.0,0.0,0.0
AL121967,796.25,1053.25,651.125
AL121968,1.5,86.75,0.125
AL121969,1.75,6.25,0.0
AL121970,1925.125,1439.0,717.125
AL121971,1977.25,877.125,1754.25
AL121972,3.75,7.0,52.25
AL121973,878.0,530.0,1265.75
AL121974,3.25,1.0,0.875
AL121975,7.375,0.125,1.5
AL121976,55.0,29.875,18.5
AL121977,45.75,0.0,0.0
AL121978,1511.375,174.0,520.75
AL121979,0.0,0.0,0.0
AL121980,353.625,521.75,179.5
AL121981,0.0,9.375,333.0
AL121984,738.875,1275.5,881.75
AL121985,0.0,0.0625,0.5
AL121987,528.5,600.375,476.75
AL121988,42.75,0.0,0.125
AL121989,879.75,590.5,386.25
AL121990,2289.375,741.5,928.25
AL121991,5.75,21.0,15.125
AL121994,2246.5,1674.875,1868.375
AL121995,415.5,628.75,2254.0
AL121996,2215.5,1219.125,1989.0
AL121998,1276.875,1509.25,1672.0
AL121999,472.625,1214.75,1470.25
AL122000,586.0,1213.5,1928.75
AL122001,834.0,1651.0,2332.625
AL122002,198.5,8.5,29.5
AL122003,46.0,61.25,1.0
AL122004,919.875,810.125,1406.25
AL122005,0.0,9.75,355.5
AL122007,372.75,938.75,719.75
AL122008,9.875,7.25,40.75
AL122010,235.25,1201.625,546.0
AL122011,204.5,55.0,81.5
AL122012,577.5,360.0,797.75
AL122013,0.0,0.0,0.0
AL122015,0.0,0.0,0.0
AL122016,989.75,849.25,2056.75
AL122017,327.75,405.5,646.75
AL122018,332.0,852.0,314.25
AL122019,711.875,922.75,482.25
AL122020,39.875,9.25,3.75
AL122021,438.0,584.5,967.5
AL122022,2588.375,812.75,1277.75
AL122023,328.0,934.75,620.5
AL122024,2969.375,1241.5,475.0
AL131944,80.75,2387.125,1408.25
AL131949,0.0,0.0,0.0
AL131950,1.5,0.375,0.75
AL131953,0.0,0.0,0.0
AL131954,314.75,65.0,101.25
AL131955,679.5,1871.375,1720.0
AL131959,18.875,345.0,84.0
AL131964,2.5,0.25,0.0
AL131966,3.5,0.625,0.625
AL131967,679.75,428.0,522.375
AL131968,0.5,0.0,0.0
AL131969,900.5,1004.25,1384.5
AL131970,0.0,0.0,0.0
AL131971,505.0,1090.5,821.5
AL131972,0.0,149.5,41.5
AL131973,4.875,12.5,47.375
AL131974,1222.875,1650.75,2156.125
AL131975,744.875,582.75,669.75
AL131976,70.25,169.0,32.125
AL131977,0.625,5.875,0.0
AL131978,726.625,965.25,87.0
AL131979,1349.5,0.0,0.0
AL131980,2426.375,1576.625,2436.0
AL131981,0.0,1.75,0.0
AL131984,48.875,14.25,0.75
AL131985,0.0,0.0,0.0
AL131987,3042.625,2382.25,3226.25
AL131988,0.0,0.0,0.0
AL131989,2240.125,1686.125,2289.5
AL131990,1156.0,2963.375,2383.75
AL131995,629.5,517.625,1167.0
AL131996,2121.1875,298.25,296.25
AL131998,1452.875,1732.875,2520.125
AL131999,589.75,594.0,1249.5
AL132000,614.125,971.75,647.875
AL132001,17.0,4.0,14.875
AL132002,290.875,681.125,496.75
AL132003,441.0,1447.75,504.25
AL132004,1580.0,2343.875,1022.125
AL132005,1658.0,1292.25,1472.25
AL132007,7.0,0.0,0.0
AL132008,0.0,953.25,434.25
AL132010,855.0,2310.5,1747.0
AL132011,0.0,0.0,0.0
AL132012,71.25,0.0,0.0
AL132013,36.875,213.75,41.0
AL132016,870.5,442.0,703.25
AL132017,0.0,2.25,0.0
AL132018,0.0,0.0,0.25
AL132019,728.375,1106.625,942.75
AL132020,868.75,710.75,939.0
AL132021,261.75,33.75,13.25
AL132022,1070.875,1153.25,378.0
AL132023,384.5,745.75,1176.25
AL132024,742.25,542.875,404.125
AL141944,1302.125,1795.25,1049.5
AL141949,0.0,0.0,0.0
AL141950,10.6875,0.0,0.0
AL141953,0.0,0.0,0.0
AL141954,2024.5,2417.625,1976.625
AL141959,5.25,0.0,1.875
AL141966,0.0,37.375,231.375
AL141967,1.0,5.625,5.75
AL141968,2071.75,1629.125,2027.25
AL141970,1130.625,1752.75,1638.75
AL141971,0.0,0.0,0.0
AL141972,6.5,6.0,0.75
AL141973,0.625,4.375,2.625
AL141974,1486.75,2137.5,2141.0
AL141975,22.75,161.125,2211.375
AL141976,27.375,2.25,0.0
AL141977,0.0,0.0,111.0
AL141978,0.0,0.0,0.0
AL141979,673.0,1391.75,581.75
AL141980,575.75,492.125,141.25
AL141981,2083.25,301.25,1209.0
AL141984,1542.0,829.25,365.25
AL141985,0.0,639.0625,909.0
AL141987,0.0,0.0,126.0
AL141988,0.0,0.0,0.0
AL141989,0.0,5.625,643.125
AL141990,101.75,13.75,1.625
AL141995,699.0,1612.0,1776.0
AL141998,3.25,4.0,0.0
AL141999,292.5,947.25,1120.375
AL142000,1961.5,787.75,1045.875
AL142001,28.875,139.125,1429.125
AL142002,1.5,979.5,1789.75
AL142003,981.5,592.25,778.25
AL142004,1.5,0.125,4.5
AL142005,1451.75,285.75,287.25
AL142007,198.875,1840.375,2173.0
AL142008,0.0,1878.5,2571.875
AL142010,676.25,1503.75,1641.75
AL142011,908.5,754.5,319.5
AL142012,1684.25,255.25,794.75
AL142013,0.5,0.0,0.0
AL142016,1350.25,2307.5,2694.125
AL142017,741.75,428.5,1178.75
AL142018,0.75,0.0,23.5
AL142019,2.5,3.0,1.25
AL142020,635.0,691.25,749.375
AL142021,219.75,0.0,3.0
AL142022,0.0,15.375,0.125
AL142023,1507.5,516.75,1427.0
AL142024,13.25,0.0,0.5
AL151949,0.4375,1.875,0.0
AL151950,25.5,27.5,0.1875
AL151954,0.0,25.25,25.0625
AL151966,1618.75,1577.5,2205.25
AL151967,209.625,1424.5,887.25
AL151968,140.875,0.0,0.0
AL151969,1342.875,1491.25,654.75
AL151970,1932.25,2514.625,953.875
AL151971,2.5,0.0,0.0
AL151972,2280.125,2726.75,2651.25
AL151973,0.0,0.0,0.0
AL151974,25.25,33.25,0.75
AL151975,730.0,644.0,647.0
AL151976,1652.25,1331.5,1076.75
AL151977,0.0625,0.0,0.0
AL151978,558.0,856.125,456.75
AL151979,2.5,0.0,661.0
AL151980,0.0,0.0,4.25
AL151981,1139.0,1745.0,2942.25
AL151984,2.25,853.75,897.25
AL151988,891.0,770.5,347.5
AL151989,0.0,130.875,61.625
AL151990,0.0,1.75,16.875
AL151995,258.75,1598.75,766.25
AL151999,762.5,1637.125,1068.8125
AL152000,926.875,2263.75,1866.0
AL152001,293.125,1042.875,1220.375
AL152003,2.5,417.625,345.625
AL152004,0.0,394.625,15.625
AL152005,196.0,412.25,388.75
AL152007,704.5,279.25,61.5
AL152008,1055.375,248.75,1878.5
AL152010,1155.5,269.5,592.25
AL152011,0.0,0.0,0.0
AL152012,2093.625,743.125,213.375
AL152013,15.4375,3.0,3.0
AL152016,0.0,0.25,0.0
AL152017,1693.25,874.25,2040.0
AL152018,607.25,511.25,1057.0
AL152019,816.75,1305.25,1102.25
AL152020,1.0,0.0,2.5
AL152021,22.875,22.25,905.0
AL152022,0.0,0.0,0.0
AL152023,1824.0,1306.75,1144.0
AL152024,0.125,1308.625,2500.375
AL161949,0.0,3.375,1.25
AL161950,470.3125,252.6875,192.5
AL161954,0.0,0.0,0.0
AL161966,1.125,7.3125,5.75
AL161967,841.0,1175.75,667.375
AL161968,0.5,0.375,0.0
AL161969,75.625,0.0,18.375
AL161970,0.25,67.75,264.75
AL161971,323.25,1618.25,2068.0
AL161972,7.625,21.625,58.375
AL161973,14.0,0.0,0.0
AL161974,0.0,347.25,743.5
AL161975,900.0,0.0,69.25
AL161976,0.0,0.0,0.0
AL161978,519.75,1019.875,1532.5
AL161979,1685.0,1679.5,2742.25
AL161980,501.0,94.375,4.1875
AL161981,1327.0,1089.5,252.875
AL161984,0.0,0.0,0.0
AL161988,804.75,788.75,410.0
AL161990,0.0,0.0,0.0
AL161995,742.0,1080.875,1255.5
AL161999,0.0,0.0,0.0
AL162000,0.0,0.5,0.0
AL162001,582.375,1548.875,1324.125
AL162003,1964.75,817.75,642.25
AL162004,0.0,0.0,0.0
AL162005,68.375,0.0,60.5
AL162007,3.75,0.0,0.0
AL162008,568.75,0.0,248.75
AL162010,0.0,0.0,5.25
AL162011,733.0,913.0,181.5
AL162012,18.5,0.0,1.0
AL162016,56.6875,0.6875,305.875
AL162017,1868.25,701.25,1154.5
AL162018,1234.75,1127.625,32.875
AL162019,5.875,21.5,3.25
AL162020,1311.25,1255.75,1121.25
AL162021,397.75,965.0,1150.875
AL162022,3.75,705.375,549.875
AL162023,2.0,0.625,0.0
AL162024,0.0,0.375,0.375
AL171966,0.0,0.0,0.0
AL171967,1280.125,2882.75,2373.625
AL171969,511.125,634.375,501.5
AL171971,11.25,0.125,0.25
AL171972,1608.625,1465.625,1314.125
AL171973,1538.5,1715.9375,1162.4375
AL171974,911.5,1149.0,1495.5
AL171975,0.0,0.75,0.25
AL171976,1565.75,444.25,4.75
AL171978,694.625,580.75,720.625
AL171979,0.875,64.875,27.5
AL171980,1725.5,1015.75,1371.625
AL171981,344.0,928.25,820.75
AL171984,375.75,0.0,0.0
AL171988,6.25,2.0,0.375
AL171995,0.125,0.0,0.0
AL172000,1.75,60.125,4.625
AL172001,15.75,24.875,63.125
AL172003,0.0,0.0,313.0
AL172005,1583.25,1478.5,919.625
AL172007,0.0,0.0,0.0
AL172008,421.125,0.0,0.0
AL172010,0.0,0.0,0.0
AL172011,300.0,680.0,290.75
AL172012,1949.75,2014.5,1510.625
AL172017,90.25,0.625,0.0
AL172019,341.25,0.0,0.0
AL172020,499.75,796.75,704.0
AL172021,207.875,700.25,566.125
AL172022,0.0,0.0,0.0
AL172023,2269.0,1047.75,1011.125
AL172024,31.375,1.125,15.125
AL181967,931.375,929.25,1252.375
AL181970,0.0,0.0,0.0
AL181971,878.25,738.75,1070.75
AL181972,1879.75,1612.875,1460.125
AL181974,0.0,0.0,0.0
AL181975,0.0,0.0,0.0
AL181976,1054.625,777.625,778.375
AL181978,0.0,272.25,941.125
AL181979,7.375,3.25,4.0
AL181980,107.8125,2.875,16.0
AL181981,1502.125,1613.25,1949.0
AL181984,0.0,0.0,215.875
AL181988,512.875,928.75,756.5
AL181995,323.0,242.375,433.625
AL182000,0.0,0.0,0.0
AL182003,0.0,0.0,366.875
AL182005,0.0,0.0,3.5
AL182010,1303.75,218.5,694.625
AL182011,808.625,1334.875,1411.0
AL182012,1334.5,33.25,1336.375
AL182017,0.0,0.0,0.0
AL182019,7.375,31.375,39.25
AL182020,596.75,208.75,237.75
AL182021,897.25,602.375,189.75
AL182023,1774.75,1229.5,2315.0
AL182024,1859.375,1538.25,1986.125
AL191967,0.375,0.0,0.0
AL191969,0.0,0.0,0.0
AL191970,0.875,17.5,218.75
AL191971,659.25,965.25,393.125
AL191972,2.6875,2.5625,2.0
AL191974,0.0,0.0,0.0
AL191975,1.0625,0.0,3.4375
AL191976,1384.375,1561.0,1652.0
AL191978,1.875,20.625,0.75
AL191979,1345.25,1282.875,1578.625
AL191981,277.0,202.5,235.0
AL191984,0.0,0.375,7.0
AL191988,42.25,1165.875,2148.5
AL191995,1804.625,2967.5,2002.875
AL192000,0.0,0.0,0.0
AL192003,775.0,583.75,469.125
AL192005,2003.625,818.125,756.875
AL192010,162.0,1468.25,1244.625
AL192011,6.0,29.75,15.75
AL192012,4.5,0.0,0.0
AL192017,0.0,0.0,0.0
AL192019,266.375,43.0,15.25
AL192020,0.0,0.0,0.0
AL192021,10.875,0.25,0.25
AL192023,363.625,368.25,445.125
AL192024,0.0,0.0,0.0
AL201969,600.75,6.125,2979.625
AL201970,0.0,0.0,0.0
AL201971,0.0,0.0,1925.25
AL201974,0.0,0.0,0.0
AL201975,2423.9375,1973.0625,1966.5
AL201976,0.0,0.0,0.0
AL201978,0.0,0.0,1274.375
AL201979,0.0,17.3125,0.25
AL201981,0.0,0.0,0.0
AL201984,52.125,538.625,218.25
AL201995,3.0,1927.875,1889.0625
AL202003,0.0,0.0,0.0
AL202005,255.25,478.5,309.375
AL202010,0.0,0.0,0.0
AL202011,133.25,0.0,1.0
AL202019,2.3125,1.625,0.0
AL202020,426.25,436.75,201.5
AL202021,242.625,150.625,289.125
AL202023,1902.5,3216.5,2190.125
AL211967,387.75,236.125,1978.0
AL211969,6.625,11.0,14.875
AL211970,11.75,0.0,15.625
AL211971,0.0,0.0,0.0
AL211975,0.0,0.0,0.0
AL211976,6.875,0.0,0.0
AL211978,11.5,91.0,38.375
AL211981,0.0,1.375,0.625
AL211995,0.0,0.0,0.0
AL212003,0.0,26.125,0.375
AL212005,21.375,3.375,0.0
AL212010,382.0,652.75,693.125
AL212020,301.0,1233.5,2250.5
AL212021,9.875,6.0,27.75
AL212023,1377.75,460.375,1721.625
AL221969,2.625,0.125,1.875
AL221970,237.375,0.0,120.25
AL221971,1967.875,1726.5,1548.0
AL221975,0.0,0.0,0.75
AL221978,298.5,487.125,287.0
AL221981,30.125,45.3125,24.3125
AL222005,3.625,15.75,7.5
AL222020,0.0,0.5,0.0
AL231967,203.25,405.625,1200.625
AL231969,0.0,0.0,0.0
AL231970,50.625,2.875,30.9375
AL231975,1.4375,2.875,7.5625
AL231978,0.0,21.5,19.5
AL232005,16.75,0.0,0.0
AL232020,562.75,484.25,353.0
AL241967,541.5,290.75,1426.25
AL241969,0.0,0.0,0.0
AL241978,3.25,0.625,3.375
AL242005,632.625,0.625,5.5
AL242020,32.0,1.0,4.75
AL251967,0.0,0.0,0.0
AL251969,0.0,0.0,0.0
AL252005,0.0,18.875,637.5
AL252020,3.0,0.75,46.75
AL261969,0.0,135.5,118.875
AL262005,0.125,1697.375,12.25
AL262020,993.0,3.0,71.75
AL271967,0.125,0.75,2.0
AL271969,56.125,2.75,112.125
AL272005,2410.875,1427.5625,1019.0
AL272020,7.625,0.125,32.875
AL281967,781.625,880.5,1145.0
AL281969,90.0,0.0,0.0
AL282005,0.0,397.25,131.0625
AL282020,0.0,0.0,0.0
AL291969,1269.75,353.875,1182.625
AL292005,0.0,313.125,31.875
AL292020,0.0,0.0,0.0
AL301969,0.0,0.0,0.0
AL302005,110.625,13.375,7.6875
AL302020,0.75,17.625,9.625
AL312005,0.0,0.0,0.0625
AL312020,0.0,0.0,0.0
