code,nao
AL022016,-0.83
AL022017,-0.55
AL022018,3.83
AL022019,-2.79
AL022020,-0.09
AL022021,0.35
AL022022,-0.34
AL022023,0.04
AL022024,-1.45
AL031851,-5.39
AL031852,-2.02
AL031853,-2.36
AL031854,2.62
AL031855,3.81
AL031856,-0.44
AL031857,1.21
AL031858,2.33
AL031859,0.11
AL031860,-0.92
AL031861,2.91
AL031862,-1.5
AL031863,0.1
AL031864,-0.21
AL031865,-0.22
AL031866,1.52
AL031867,3.1
AL031868,1.87
AL031869,1.15
AL031870,1.71
AL031871,4.19
AL031872,-2.53
AL031873,-0.57
AL031874,0.82
AL031875,-0.01
AL031876,-2.62
AL031877,-3.74
AL031878,-2.46
AL031879,-0.29
AL031880,-0.43
AL031881,0.42
AL031882,0.4
AL031883,0.47
AL031884,1.6
AL031885,-1.03
AL031886,-1.17
AL031887,0.06
AL031888,4.0
AL031889,3.78
AL031890,0.99
AL031891,2.22
AL031892,1.61
AL031893,0.48
AL031894,0.91
AL031895,1.15
AL031896,0.6
AL031897,1.4
AL031898,-0.17
AL031899,-1.13
AL031900,0.98
AL031901,-1.83
AL031902,-1.51
AL031903,0.22
AL031904,-0.43
AL031905,-0.19
AL031906,0.38
AL031907,0.24
AL031908,0.09
AL031909,-1.35
AL031910,-1.15
AL031911,0.13
AL031912,-2.51
AL031913,0.65
AL031915,-1.29
AL031916,-0.69
AL031917,-0.39
AL031918,1.76
AL031919,-1.27
AL031920,0.41
AL031921,-1.43
AL031922,-0.43
AL031923,2.64
AL031924,0.55
AL031925,-0.66
AL031926,2.06
AL031927,-1.77
AL031928,-1.93
AL031929,0.25
AL031930,0.89
AL031931,-1.8
AL031932,2.18
AL031933,2.62
AL031934,-1.17
AL031935,-0.55
AL031936,0.76
AL031937,0.28
AL031938,-0.37
AL031939,0.8
AL031940,0.3
AL031941,-0.97
AL031942,0.08
AL031943,-0.18
AL031944,-2.16
AL031945,-1.83
AL031946,0.62
AL031947,-1.08
AL031948,0.34
AL031949,1.38
AL031950,-0.28
AL031951,0.85
AL031952,-1.05
AL031953,3.26
AL031954,-0.94
AL031955,0.54
AL031956,-3.15
AL031957,0.7
AL031958,0.98
AL031959,1.51
AL031960,0.18
AL031961,2.01
AL031962,0.02
AL031963,0.94
AL031964,-2.46
AL031965,1.59
AL031966,-1.99
AL031967,1.96
AL031968,0.95
AL031969,-1.17
AL031970,0.27
AL031971,-1.04
AL031972,1.07
AL031973,0.83
AL031974,-0.14
AL031975,0.63
AL031976,1.76
AL031977,-1.14
AL031978,-0.33
AL031979,2.53
AL031980,-0.91
AL031981,0.05
AL031982,1.45
AL031983,0.56
AL031984,0.93
AL031985,2.33
AL031986,0.88
AL031987,-2.99
AL031988,0.73
AL031989,0.58
AL031990,1.43
AL031991,2.71
AL031992,1.04
AL031993,0.75
AL031994,-1.59
AL031995,-0.96
AL031996,1.47
AL031997,1.18
AL031998,1.8
AL031999,-3.67
AL032000,0.78
AL032001,1.64
AL032002,-0.61
AL032003,-0.86
AL032004,-0.76
AL032005,-0.08
AL032006,0.83
AL032007,-1.05
AL032008,-1.13
AL032009,1.07
AL032010,0.06
AL032011,-3.39
AL032012,-2.58
AL032013,2.52
AL032014,0.91
AL032015,-2.16
AL032016,-1.27
AL032017,-0.55
AL032018,3.83
AL032019,-2.79
AL032020,-1.52
AL032021,0.35
AL032022,0.6
AL032023,-2.9
AL032024,-1.45
AL041851,4.68
AL041852,-2.02
AL041853,-0.22
AL041854,2.62
AL041855,3.81
AL041856,-0.44
AL041857,1.21
AL041858,2.33
AL041859,0.11
AL041860,-0.92
AL041861,-0.85
AL041862,1.75
AL041863,0.1
AL041864,1.12
AL041865,3.24
AL041866,1.52
AL041867,3.1
AL041868,1.87
AL041869,0.62
AL041870,1.71
AL041871,4.19
AL041872,-2.53
AL041873,-0.57
AL041874,0.74
AL041875,-0.01
AL041876,-2.62
AL041877,-3.74
AL041878,-2.46
AL041879,-0.29
AL041880,-0.43
AL041881,0.42
AL041882,0.4
AL041883,1.68
AL041884,0.27
AL041885,1.4
AL041886,-1.59
AL041887,0.58
AL041888,4.0
AL041889,-1.98
AL041890,0.85
AL041891,2.29
AL041892,1.61
AL041893,0.48
AL041894,-2.19
AL041895,-2.53
AL041896,0.6
AL041897,1.4
AL041898,-0.17
AL041899,-1.13
AL041900,0.98
AL041901,1.14
AL041902,-0.12
AL041903,0.22
AL041904,0.04
AL041905,-3.1
AL041906,0.38
AL041907,-1.59
AL041908,0.09
AL041909,2.59
AL041910,-1.15
AL041911,1.53
AL041912,-2.51
AL041913,0.65
AL041915,-1.29
AL041916,-0.69
AL041917,2.47
AL041918,1.76
AL041919,-1.27
AL041920,0.41
AL041921,-1.43
AL041922,-3.95
AL041923,2.64
AL041924,0.55
AL041925,-2.6
AL041926,0.92
AL041927,-1.77
AL041928,-1.93
AL041929,0.29
AL041931,-1.8
AL041932,2.18
AL041933,2.62
AL041934,1.51
AL041935,-0.55
AL041936,1.34
AL041937,-0.17
AL041938,-0.37
AL041939,-3.9
AL041940,0.3
AL041941,-0.97
AL041942,0.08
