code,nao
AL111937,-2.41
AL111942,-2.11
AL111944,0.36
AL111945,-0.22
AL111949,-1.81
AL111950,0.78
AL111951,-0.13
AL111952,-1.51
AL111953,0.77
AL111954,2.49
AL111955,0.82
AL111956,1.23
AL111958,1.1
AL111959,1.51
AL111961,-2.15
AL111964,0.63
AL111966,-0.07
AL111967,-0.41
AL111970,0.47
AL111971,-0.54
AL111972,0.11
AL111973,-0.79
AL111974,0.11
AL111975,1.75
AL111976,0.62
AL111977,0.45
AL111978,0.05
AL111979,-0.85
AL111980,1.72
AL111981,1.01
AL111984,-1.31
AL111985,0.14
AL111987,1.27
AL111988,-2.02
AL111989,-0.96
AL111990,-0.99
AL111991,-1.77
AL111994,1.68
AL111995,-1.33
AL111996,-0.07
AL111998,-3.48
AL111999,-0.69
AL112000,-1.1
AL112001,0.88
AL112002,-3.58
AL112003,-0.99
AL112004,2.51
AL112005,0.94
AL112007,-1.18
AL112008,-2.07
AL112009,1.68
AL112010,-2.38
AL112011,-2.41
AL112012,-0.44
AL112013,-0.57
AL112015,-1.65
AL112016,2.45
AL112017,-0.04
AL112018,0.45
AL112019,-0.32
AL112020,-1.36
AL112021,-2.44
AL112022,-3.73
AL112023,-1.75
AL112024,-4.19
AL121878,-3.47
AL121886,-0.55
AL121887,-1.14
AL121893,-2.16
AL121901,-0.47
AL121909,-1.97
AL121916,2.2
AL121931,2.78
AL121932,0.05
AL121933,-2.03
AL121934,0.76
AL121936,-0.81
AL121944,-0.83
AL121949,1.38
AL121950,0.78
AL121951,2.54
AL121953,0.77
AL121954,2.49
AL121955,-2.35
AL121956,1.39
AL121958,1.65
AL121959,0.02
AL121961,-2.15
AL121964,1.33
AL121966,0.82
AL121967,0.32
AL121968,0.5
AL121969,-1.62
AL121970,0.47
AL121971,-0.54
AL121972,-4.11
AL121973,-0.79
AL121974,0.11
AL121975,1.75
AL121976,-3.46
AL121977,0.45
AL121978,1.96
AL121979,-0.85
AL121980,1.72
AL121981,1.01
AL121984,-1.31
AL121985,0.14
AL121987,1.27
AL121988,-1.47
AL121989,-0.96
AL121990,-0.99
AL121991,-1.77
AL121994,1.68
AL121995,-1.33
AL121996,-0.07
AL121998,1.34
AL121999,-0.69
AL122000,-1.1
AL122001,0.88
AL122002,-3.58
AL122003,0.35
AL122004,2.51
AL122005,0.94
AL122007,-1.18
AL122008,-2.07
AL122010,-2.38
AL122011,-2.41
AL122012,-0.44
AL122013,-0.36
AL122015,3.54
AL122016,2.45
AL122017,1.42
AL122018,0.45
AL122019,-0.32
AL122020,-1.36
AL122021,-2.44
AL122022,0.86
AL122023,-1.75
AL122024,-4.19
AL131887,-1.14
AL131901,-0.47
AL131916,2.2
AL131931,2.78
AL131932,0.05
AL131933,-2.03
AL131934,-1.22
AL131936,-0.81
AL131944,-0.83
AL131949,1.38
AL131950,0.78
AL131953,3.25
AL131954,2.49
AL131955,-2.35
AL131959,0.02
AL131964,2.44
AL131966,-1.99
AL131967,0.32
AL131968,0.5
AL131969,-1.62
AL131970,0.47
AL131971,-0.54
AL131972,-4.11
AL131973,-0.79
AL131974,0.11
AL131975,1.75
AL131976,-3.46
AL131977,0.45
AL131978,1.96
AL131979,1.12
AL131980,1.72
AL131981,1.01
AL131984,-1.31
AL131985,-2.85
AL131987,-0.8
AL131988,-1.24
AL131989,0.88
AL131990,-0.59
AL131995,-1.33
AL131996,-0.05
AL131998,1.34
AL131999,-0.69
AL132000,-1.1
AL132001,0.88
AL132002,-3.58
AL132003,0.35
AL132004,2.51
AL132005,0.94
AL132007,-1.18
AL132008,0.01
AL132010,-2.38
AL132011,2.97
AL132012,-1.44
AL132013,-0.36
AL132016,2.45
AL132017,1.42
AL132018,0.45
AL132019,-0.32
AL132020,-1.36
AL132021,-0.16
AL132022,0.86
AL132023,-0.65
AL132024,-0.83
AL141887,-1.14
AL141916,2.2
AL141932,0.05
AL141933,-2.03
AL141936,-0.81
AL141944,0.81
AL141949,1.38
AL141950,0.78
AL141953,0.15
AL141954,2.09
AL141959,-1.81
AL141966,-0.47
AL141967,0.32
AL141968,0.03
AL141970,0.47
AL141971,-0.54
AL141972,-4.11
AL141973,-1.03
AL141974,0.11
AL141975,1.75
AL141976,-3.46
AL141977,0.45
AL141978,1.96
AL141979,1.12
AL141980,-0.87
AL141981,0.27
AL141984,-1.31
AL141985,-0.43
AL141987,-0.8
AL141988,0.73
AL141989,0.88
AL141990,-0.59
AL141995,-1.55
AL141998,1.13
AL141999,-0.69
AL142000,-1.1
AL142001,0.88
AL142002,-1.5
AL142003,0.35
AL142004,-2.18
AL142005,0.5
AL142007,-1.18
AL142008,0.01
AL142010,-2.38
AL142011,2.97
AL142012,-1.44
AL142013,0.04
AL142016,2.45
AL142017,1.42
AL142018,-1.17
AL142019,-1.11
AL142020,-1.36
AL142021,-0.16
AL142022,0.86
AL142023,-0.65
AL142024,-0.83
AL151887,-1.14
AL151916,-0.58
AL151932,0.98
AL151933,-2.03
AL151936,-0.81
AL151949,0.54
AL151950,0.78
AL151954,1.54
AL151966,-2.89
AL151967,0.32
AL151968,-2.0
AL151969,0.38
AL151970,0.47
AL151971,-0.54
AL151972,-4.11
AL151973,-1.03
AL151974,0.11
AL151975,1.75
AL151976,-3.46
AL151977,0.45
AL151978,1.96
AL151979,1.12
AL151980,-0.87
AL151981,0.27
AL151984,-1.31
AL151988,0.73
AL151989,-2.97
AL151990,-0.59
AL151995,-1.55
AL151999,-0.69
AL152000,-1.1
AL152001,0.88
AL152003,0.35
AL152004,-2.18
AL152005,0.5
AL152007,-0.02
AL152008,0.01
AL152010,-2.38
AL152011,2.97
AL152012,-3.21
AL152013,3.54
AL152016,-1.47
AL152017,1.42
AL152018,-1.17
AL152019,-1.11
AL152020,-1.36
AL152021,-0.16
AL152022,0.86
AL152023,-0.65
AL152024,-0.83
AL161887,-1.14
AL161933,-1.99
AL161936,0.87
AL161949,0.54
AL161950,0.78
AL161954,1.44
AL161966,-0.07
AL161967,0.32
AL161968,0.5
AL161969,0.38
AL161970,0.47
AL161971,-0.54
AL161972,-1.74
AL161973,-1.03
AL161974,0.11
AL161975,1.75
AL161976,-3.46
AL161978,1.96
AL161979,1.12
AL161980,-2.06
AL161981,0.27
AL161984,1.66
AL161988,0.73
AL161990,-0.59
AL161995,-1.55
AL161999,0.3
AL162000,1.37
AL162001,0.01
AL162003,0.35
AL162004,-0.55
AL162005,0.5
AL162007,-0.02
AL162008,0.01
AL162010,-2.38
AL162011,2.97
AL162012,-3.21
AL162016,-1.61
AL162017,1.36
AL162018,-1.17
AL162019,-1.11
AL162020,0.49
AL162021,-0.16
AL162022,0.86
AL162023,-0.65
AL162024,-0.83
AL171887,-3.25
AL171933,-1.99
AL171936,2.37
AL171966,-0.07
AL171967,0.32
AL171969,0.38
AL171971,-0.54
AL171972,-1.74
AL171973,-0.26
AL171974,0.11
AL171975,0.39
AL171976,-3.46
AL171978,1.96
AL171979,-1.95
AL171980,-2.06
AL171981,0.27
AL171984,1.66
AL171988,0.8
AL171995,-1.55
AL172000,1.37
AL172001,0.01
AL172003,0.35
AL172005,0.5
AL172007,1.36
AL172008,-1.3
AL172010,-2.41
AL172011,2.97
AL172012,-3.21
AL172017,1.36
AL172019,-1.11
AL172020,0.49
AL172021,-0.16
AL172022,2.37
AL172023,-0.65
AL172024,-0.83
AL181887,-1.62
AL181933,-1.99
AL181967,0.32
AL181970,-0.0
AL181971,-0.54
AL181972,-1.74
AL181974,-1.44
AL181975,0.39
AL181976,-3.46
AL181978,1.96
AL181979,-1.95
AL181980,-2.06
AL181981,0.27
AL181984,-1.16
AL181988,0.8
AL181995,1.22
AL182000,1.37
AL182003,-3.68
AL182005,0.5
AL182010,-2.41
AL182011,1.31
AL182012,-3.21
AL182017,1.36
AL182019,-1.11
AL182020,0.49
AL182021,-0.16
AL182023,-0.65
AL182024,-0.5
AL191887,-1.62
AL191933,-1.99
AL191967,1.34
AL191969,0.38
AL191970,-0.0
AL191971,-0.54
AL191972,0.64
AL191974,-1.44
AL191975,0.39
AL191976,-0.64
AL191978,0.02
AL191979,-1.95
AL191981,0.27
AL191984,-1.16
AL191988,-2.02
AL191995,1.22
AL192000,1.37
AL192003,-3.68
AL192005,0.5
AL192010,-2.41
AL192011,0.74
AL192012,-3.21
AL192017,-0.9
AL192019,-1.11
AL192020,0.49
AL192021,-0.16
AL192023,-1.23
AL192024,-0.5
AL201933,-2.97
AL201969,0.38
AL201970,0.47
AL201971,1.63
AL201974,1.27
AL201975,0.39
AL201976,-0.64
AL201978,0.02
AL201979,1.95
AL201981,-1.06
AL201984,1.52
AL201995,1.22
AL202003,-0.85
AL202005,-0.45
AL202010,-2.41
AL202011,-2.41
AL202019,-1.84
AL202020,0.49
AL202021,-0.16
AL202023,-1.23
AL211967,1.34
AL211969,0.38
AL211970,0.47
AL211971,1.63
AL211975,0.86
AL211976,-0.64
AL211978,0.02
AL211981,1.66
AL211995,1.22
AL212003,-0.85
AL212005,-0.45
AL212010,-2.41
AL212020,0.49
AL212021,0.49
AL212023,-1.23
AL221969,0.38
AL221970,0.76
AL221971,-1.46
AL221975,0.86
AL221978,0.02
AL221981,1.66
AL222005,-0.45
AL222020,0.49
AL231967,1.34
AL231969,0.38
AL231970,0.76
AL231975,-1.57
AL231978,0.02
AL232005,-0.45
AL232020,0.49
AL241967,1.34
AL241969,0.7
AL241978,3.91
AL242005,-0.45
AL242020,0.49
AL251967,1.34
AL251969,0.7
AL252005,-0.45
AL252020,-0.19
AL261969,0.7
AL262005,-0.45
AL262020,-0.19
AL271967,1.96
AL271969,0.7
AL272005,-0.45
AL272020,-0.19
AL281967,0.32
AL281969,0.7
AL282005,-1.01
AL282020,-0.19
AL291969,-1.28
AL292005,-1.01
AL292020,-0.19
AL301969,-1.62
AL302005,-1.01
AL302020,1.25
AL312005,-0.81
AL312020,1.25
