code,mean_forward_speed_kmph
AL011851,9.842744227964808
AL011852,18.861590171449624
AL011853,
AL011854,18.063246948555694
AL011855,
AL011856,14.731293867324972
AL011857,19.47764081065824
AL011858,
AL011859,
AL011860,13.124250767301296
AL011861,18.436591386083823
AL011862,9.73188670705166
AL011863,15.597703182071058
AL011864,49.24425308472279
AL011865,
AL011866,9.510435770732558
AL011867,13.139055900594354
AL011868,26.947203242435926
AL011869,21.82505723873796
AL011870,
AL011871,19.973761278998598
AL011872,13.013983756718853
AL011873,32.506713077259505
AL011874,17.54696105133794
AL011875,21.509888555103707
AL011876,18.88480651209413
AL011877,32.727752866788464
AL011878,19.795318661082803
AL011879,26.569252315676454
AL011880,10.335057572112333
AL011881,13.431013079358982
AL011882,36.467200487240916
AL011883,30.08824185861132
AL011884,33.6749798726715
AL011885,24.15231556089953
AL011886,21.644446710083532
AL011887,21.86085561269756
AL011888,9.110709476739757
AL011889,18.84538398889787
AL011890,10.272915669852472
AL011891,16.121333459828183
AL011892,13.916092989402255
AL011893,23.529026553549656
AL011894,10.498225291011304
AL011895,9.546772672451407
AL011896,26.4298462581611
AL011897,27.982088600587023
AL011898,25.05100390246998
AL011899,15.234144430603344
AL011900,26.94958572619978
AL011901,20.51683564878717
AL011902,32.35704607948759
AL011903,32.15261347573407
AL011904,12.950301707764172
AL011905,28.63098312588385
AL011906,17.577388720046887
AL011907,30.864480871485643
AL011908,15.426514484532582
AL011909,4.634918063819982
AL011910,24.030045646244698
AL011911,23.7827124060839
AL011912,15.707308430050569
AL011913,17.083358424014662
AL011914,19.739330165381478
AL011915,19.539548431980855
AL011916,27.770787121298937
AL011917,22.919014827359867
AL011918,30.842530548625284
AL011919,13.177784988027001
AL011920,26.2291383637183
AL011921,13.806975325446068
AL011922,22.61122842751428
AL011923,21.749664909770473
AL011924,20.608311697231564
AL011925,28.989552565045155
AL011926,21.36562697432364
AL011927,40.203662348843515
AL011928,16.61270402455998
AL011929,28.256153177340284
AL011930,21.531965344667725
AL011931,16.489257450676988
AL011932,19.914878291052084
AL011933,16.793355618963528
AL011934,17.803190242826403
AL011935,25.993128457582255
AL011936,27.13425540876112
AL011937,27.67881656751794
AL011938,21.60815860126993
AL011939,19.117828458939126
AL011940,15.752597350034398
AL011941,8.316418867267519
AL011942,24.63867496692685
AL011943,12.10429852856543
AL011944,26.02729476900876
AL011945,21.582832402927632
AL011946,11.355350041804854
AL011947,17.28041348085907
AL011948,14.436063788996968
AL011949,38.33918917860174
AL011950,26.123588396144672
AL011951,23.617642830933512
AL011952,51.37580041861407
AL011953,11.157010676616174
AL011954,44.350461327729576
AL011955,14.135359563194044
AL011956,23.929741459848298
AL011957,21.813427210793396
AL011958,23.270120730504186
